Job Role,Supply Chain area,Qualifications & Memberships,Base/Current Job Role Description,Expected Changes Due to Hydrogen Activities
Plant Machinery Operator,Transport Fuel,"● Certificate III in Mobile Plant Technology or a
combination of relevant units of competency
● Relevant licence depending on state/territory
jurisdiction.","Plant machinery operators are logistics workers who operate
mobile plant machinery such as excavators, cranes and
forklifts, often to physically move or shift materials between
locations. They also monitor and report on the condition of the
plant to ensure it is operating as intended.","● Plant machinery operators will need an understanding of fuel cell systems to enable
the safe and proper handling of the vehicle
● They will need to understand factors that can cause a lack of hydrogen containment
and prepare the proper evacuation and safety procedures in the event of an
incident, such as a fire
● They may also need to recognise the signs of cracking or leakage in vessels storing
hydrogen
● Safety considerations such as knowledge of hazardous areas and safety zones is
paramount."
Planner and Scheduler,"Production, Blending into Gas Networks","● Certificate III in Gas Supply Industry Operations
● Electrical Equipment in Hazardous Areas 
certification
● Confined space entry permit
● Relevant licence depending on state/territory jurisdiction.","Planners and schedulers arrange the release of oil or gas into pipeline systems within their network. They analyse the storage levels available and adjust distribution levels to meet demand, report on the gas flow and ensure that distribution occurs according to schedule.","● Planners and schedulers will need to understand the basic chemical properties of hydrogen and how it differs from natural gas, most notably in its flammability, heating, calorific value and the higher pressures it is frequently transported in
● In their logistical roles as schedulers, they will need an understanding of hydrogen and any associated waste products’ interchangeability with other industries, such as oxygen or carbon, and how they can be supplied to chemical processing facilities."
Operations Manager,"Production, Blending into Gas Networks, Transport Fuel","● Diploma of Production Management or higher
● At least 10 years work experience in related projects.","Operations managers plan, organise, direct and coordinate the activities of an organisation, including its physical and human resources. They control plant operations through planning of operating hours and maintenance, and oversee the acquisition and installation of new plant equipment.","● Depending on previous experience, additional familiarity with hydrogen’s property risks will be needed. This includes an understanding of hydrogen’s lack of odour and invisibility when ignited, as well as its flammability
● They will also need a general understanding of the market trends that will affect the demand and supply of hydrogen in the long term, including the progress of new technologies, potential applications and use cases of new materials, and developments in Australia’s regulatory framework that will affect how hydrogen is treated and handled
● Safety considerations such as knowledge of hazardous areas and safety zones is paramount."
Mechanical Engineer,"Transport and Distribution, Storage, Blending into Gas Networks, Transport Fuel","● Engineers Australia membership (inc. accredited degree as specified)
● Bachelor’s Degree or higher in Mechanical Engineering
● At least five years’ experience in related projects.","The typical tasks of a mechanical engineer involve designing and planning mechanical products and systems in a range of contexts. They oversee the construction, installation and operation of these components and systems, and analyse the data arising from them. They may also be responsible for their ongoing maintenance and any problem solving required to ensure optimal performance.","● Knowledge of hydrogen’s property risks and interactions with various materials will be critical domain knowledge for mechanical engineers designing systems and components 
● Embrittlement and crack propagation caused by molecular interaction between steel and hydrogen will influence the materials that mechanical engineers select on their project
● Understanding hydrogen’s flammability and ignition factors will also be important to designing processes safely."
Marine Master/Operator,Export Fuel,"● A Master certificate of competency from the
Australian Maritime Safety Authority
● Valid certificate of medical fitness as
specified by the Australian Maritime Safety
Authority
● Any other relevant international seafarer
certificates.","Marine master/operators are those workers who control and
manage the operations of a ship, which includes navigating a
ship’s course. They also control and direct shipping operations
in order to ensure goods are shipped and transported safely.","● A familiarity with hydrogen’s property risks is needed. This includes an
understanding of hydrogen’s lack of odour and invisibility when ignited, as well as its
flammability
● They will also need to recognise the signs of cracking or leakage in vessels storing
hydrogen in order to address containment issues
● In some cases where liquefied hydrogen is being transported, there needs to be an
understanding of the cryogenics systems required to store these materials at the
required low temperatures
● Safety considerations such as knowledge of hazardous areas and safety zones is
paramount."
Marine Engineer,"Transport and Distribution, Storage, Transport Fuel, Export Fuel","● Certificate III in Maritime Operations (Master up to 24 metres Near Coastal) or higher
● Medical health standards for a seagoing career as prescribed by the Australian 
Maritime Safety Authority
● Completion of relevant sea service requirements depending on licence class.","Marine engineers are those who install, operate, and maintain machinery and equipment on ships and vessels. They inspect the functioning of vessels and in some cases undertake servicing activities to correct faults or damage to parts of a vessel.","● Marine engineers will require an understanding of fuel cell technology, how it functions, and what components in the propulsion system may be safely handled for repair
● Marine engineers will need an understanding of hydrogen’s property risks. Knowledge of hazardous areas is also required when dealing with containment issues (e.g. leakages, crack propagation in materials)
● They will also need an understanding of high pressure gas systems and vessels and how they function, as these are necessary when storing or transporting hydrogen."
Maintenance Manager,"Production, Blending into Gas Networks, Transport Fuel","● Certificate IV or higher in the relevant trade 
(e.g. Automotive Electrical Technology)
● At least 10 years’ work experience in related projects.","Maintenance managers direct, coordinate and advise team members on the maintenance and repair activities required for plant/production machinery and other pieces of mechanical equipment. They ensure that all team members follow correct and safe procedures for the servicing and maintenance of equipment.","● Depending on previous experience, additional familiarity with hydrogen’s property risks will be needed. This includes an understanding of hydrogen’s lack of odour and invisibility when ignited, as well as its flammability 
● Those working with hydrogen fuel cell vehicles will need an awareness of the high voltage systems within the vehicles and a basic understanding of how proton exchange membrane fuel cells operate
● In some cases, maintenance managers may also be expected to retrofit hydrogen sub-assemblies or components into a larger system
● Safety considerations such as knowledge of hazardous areas and safety zones is paramount."
Loading Master,Export Fuel,"● Certificate III in Stevedoring
● Relevant licence depending on state/territory jurisdiction.",Loading masters are logistics personnel who work on marine docks and supervise the handling and movement of gas and petroleum products from the terminal to a marine vessel while it is berthed. They organise the dispatch of the products and ensure there is no leakage or contamination into the environment.,"● Loading masters will need to understand the basic chemical properties of hydrogen and how it differs from natural gas, most notably in its flammability and the higher pressures it is frequently transported in
● This will influence the material handling processes they have in place and they will need to educate all team members on hydrogen’s hazardous areas and safety zones
● Loading masters will need familiarity with the various forms in which hydrogen can be stored, particularly liquefied hydrogen, which requires cryogenics and extremely low temperatures in order to maintain in a stable form."
Light Vehicle Technician,Transport Fuel,"● Certificate III in Light Vehicle Mechanical Technology with at least two years of on the job experience
● Experience with OEMs may be required.","Light vehicle technicians maintain, test and repair engines and the mechanical parts of lightweight motor vehicles (e.g. commercial passenger cars, motorcycles), such as their transmission, suspension, steering and braking systems. They diagnose and repair mechanical and electrical faults in vehicles, undertake scheduled maintenance checks, and undertake some electronic testing of vehicle systems with the assistance of computers.","● Automotive light vehicle technicians will need a basic understanding of the operations and functions of proton exchange membrane fuel cells and the 
differences they present in comparison to vehicles with internal combustion engines
● They may generally need to develop problem-solving and analytical skills to diagnose some of the unique electrical faults that arise with fuel cells
● They will need to safely work with high voltage systems, including learning how to depower them so that any further repair or maintenance work can be undertaken."
Integration Specialist,"Production, Transport Fuel",● Bachelor’s Degree or higher in Information Systems or Electrical Engineering.,Integration specialists implement solutions which coordinate electronic systems within a project into a larger whole. They evaluate existing components or systems to determine integration requirements and ensure that the final solutions meet product or workplace needs. They also perform information technology system troubleshooting when needed.,"● Integration specialists will need to understand how electrolysis functions as a hydrogen production method and what controls and instrumentation are needed to ensure electrolysers function effectively
● They will need familiarity with some of the non-electrical systems they may encounter in electrolysers, including high pressure gas systems and water treatment systems
● In mobility and materials handling contexts, they will need an understanding of fuel cell technologies (particularly proton exchange membrane and alkaline fuel cells) and how to combine them together within the other systems of a vehicle."
Heavy Vehicle Technician,"Transport and Distribution, Transport Fuel","● Certificate III in Heavy Commercial Vehicle Mechanical Technology, Certificate III in 
Mobile Plant Technology, or Certificate III in 
Engineering – Fixed or Mobile Plant Mechanic with at least two years of on the job experience
● Experience with OEMs may be required.","Heavy vehicle technicians maintain, test and repair heavy vehicles and their mechanical systems, such as their 
transmission, suspension, steering and braking. Heavy vehicles include trucks, coaches and buses. Technicians diagnose and repair mechanical and electrical faults in vehicles, undertake scheduled maintenance checks, and undertake some electronic testing of vehicle systems with the assistance of computers.","● Heavy vehicle technicians will need a basic understanding of the operations and functions of proton exchange membrane fuel cells and the differences they present in comparison to vehicles with internal combustion engines
● They may generally need to develop problem-solving and analytical skills to diagnose some of the unique electrical faults that arise with fuel cells, and issues that may arise with built-for-purpose vehicle components (e.g. fuel connectors)
● They will need to safely work with high voltage systems, including learning how to depower them so that repairs or maintenance work can be undertaken
● Knowledge of cryogenics may be required as heavy vehicles may also require additional cooling systems."
Heavy Vehicle Operator,Transport Fuel,"● Various Certificate III qualifications depending on field (e.g. Certificate III in Surface Extraction Operations or Certificate III in Driving Operations)
● Dangerous goods drivers’ licence.","Heavy vehicle operators are logistics workers who handle and operate large vehicles needed to transport goods and materials between destinations. For instance, on mining sites where mineral extraction takes place, or in road freight applications where trucks are needed to carry goods.","● Heavy vehicle operators will need an understanding of fuel cell systems to enable the safe and proper handling of the vehicle 
● They will need to understand factors that can cause a lack of hydrogen containment and prepare the proper evacuation and safety procedures in the event of a incident, such as a fire
● They may also need to recognise the signs of cracking or leakage in vessels storing hydrogen
● Safety considerations such as knowledge of hazardous areas and safety zones is paramount."
Heavy Duty Fitter,"Transport Fuel, Export Fuel","● Certificate III in Heavy Commercial Vehicle Mechanical Technology, Certificate III in 
Mobile Plant Technology, or Certificate III in 
Engineering – Fixed or Mobile Plant Mechanic with at least two years of on the job experience
● Experience with OEMs may be required
● Hazardous Area Certification may be required.","Heavy duty fitters fit and assemble metal parts and subassemblies to heavy vehicles and plant equipment (e.g. trucks, buses, some earthmoving equipment). They assemble these parts to form large pieces of equipment, fit them using precision measuring instruments, diagnose faults, and undertake operational maintenance of this equipment. In some workplaces, they may also be expected to service power generation units utilising hydrogen.","● Hydrogen fuel cell electric vehicles utilise compressed gas tanks of hydrogen to hold the fuel. Heavy duty fitters will need an understanding of high pressure gas vessels and how these systems work in order to operate safely around these vehicles
● An understanding of hydrogen’s hazardous areas and potential ignition sources will be critical if the fitter undertakes any work with electrical equipment
● In consultation, hydrogen transport fuel operators noted fitters with previous experience working with hydraulic systems (e.g. experience working in the oil and gas industries) would be well suited in the transition to working with hydrogen."
Grid Connection Engineer,"Production, Transport and Distribution, Blending into Gas Networks","● Engineers Australia membership (inc. accredited degree as specified)
● Bachelor’s Degree or higher in Electrical Engineering
● At least five years’ experience in related projects.","Grid connection engineers plan, design and monitor the connection of energy projects with the wider electrical grid in a region. They are responsible for ensuring that the connection is technically feasible, collaborate with national service providers, and undertake network analysis of the generation, transmission and distribution systems.","● Grid connection engineers will need to have an understanding of the power electronics systems that may be used in conjunction with some hydrogen production facilities, but this is typically expected knowledge of the job
● Depending on the number of industry participants in their project and the regulatory environment that they operate within, they may also need experience with navigating and managing social considerations to operate for their projects."
Gas Inspector,"Production, Transport and Distribution, Storage, Blending into Gas Networks, Transport Fuel, Export Fuel","● Certificate III in Gas Supply Industry Operations or higher
● Diploma of Government Investigations may be required in some regulatory positions
● At least three years of work experience may substitute for formal qualifications
● On-the-job training may also be required in addition to formal qualifications.","A gas inspector is responsible for assessing the safety of all gas appliances and ensuring the systems are working safely and properly. This may involve checking safety devices and their efficiencies, ensuring no harmful gases are leaking and appliances are set up properly.","● Knowledge of hydrogen properties, its risks and interactions with various materials will be expected skills to ensure safe hydrogen processes and that pipelines are in safe physical conditions
● In addition, gas inspectors will need to recognise the faults in vessels that may arise from hydrogen chemical reactions (e.g. crack propagation) and the impacts this may have from a safety perspective."
Gas Industry Operator,Blending into Gas Networks,"● Certificate III in Gas Industry Supply Operations
● Electrical Equipment in Hazardous Areas 
certification
● Confined space entry permit
● Relevant licence depending on state/territory jurisdiction.","Gas industry operators coordinate the distribution and transmission of gas by undertaking repair, maintenance and commissioning/decommissioning work on gas pipelines. They review components and materials to specifications and may seal cracks to repair pipelines.","● Gas industry operators will need a basic understanding of hydrogen and its property risks (including its flammability, odour, appearance, and hazardous areas), as well as the faults that may arise from hydrogen’s chemical reactions with steel (e.g. 
embrittlement and crack propagation)
● Given that hydrogen gas appliances occasionally interface with electrical systems, consultations noted that an awareness of both low and high voltage systems would be necessary as well."
Gas Fitter (Industrial),"Production, Transport and Distribution, Storage, Blending into Gas Networks","● Certificate III in Gas Supply Industry Operations
● Electrical Equipment in Hazardous Areas 
certification
● Confined space entry permit
● Relevant licence depending on state/territory jurisdiction.","Industrial gas fitters install, maintain and service gas mains, piping systems, and any appliances and ancillary equipment typically in industrial environments upstream of the gas meter, where the gas is used as a fuel or feedstock for another process.","● As most gas fitters in industrial contexts likely already work with high pressure gases, they may only need a basic understanding of hydrogen and its property risks 
(including its flammability, odour, appearance, and hazardous areas)
● While already assumed knowledge in their role, high pressure gas systems and the potential consequences of a loss of gas containment are critical to safe work in this job role
● They will also need to know the chemical reactions that hydrogen has with steel and other materials to maintain containment, given that reactions contribute to pipeline embrittlement and crack propagation."
Gas Fitter (General),"Blending into Gas Networks, Transport Fuel","● Certificate III in Gas Fitting
● Electrical Equipment in Hazardous Areas 
certification
● Confined space entry permit
● Relevant licence depending on state/territory jurisdiction.","Gas fitters install, maintain and repair gas mains, piping systems, and any appliances and ancillary equipment associated with the use of fuel gases, including liquefied petroleum gas systems. They also install gas appliances and any pressure regulating devices.","● They will need a basic understanding of hydrogen and its property risks (including its flammability, odour, appearance, and hazardous areas)
● They will also need to know the chemical reactions that hydrogen has with steel and other materials to maintain containment, given that reactions contribute to pipeline embrittlement and crack propagation
● Consultation noted that fitters may need retraining to work with differences in the fundamental materials and larger sizing of pipes utilising hydrogen
● Knowledge of how electrical systems work would assist gas fitters in understanding the hydrogen appliances that may arrive in the market in the near future (e.g. LAVO appliances)."
Fuel Cell Fabrication and Testing Technician,"Production, Storage, Blending into Gas Networks","● Bachelor’s Degree or higher in Mechanical or Chemical Engineering, Advanced Diploma of Manufacturing Technology or Advanced Diploma of Engineering.","Hydrogen fuel cell fabrication and testing technicians specialise in the installation, operation and maintenance of fuel cells or their prototypes and the equipment used to test them. They test fuel cells for degradation and may fabricate the metal casing that is used to house the cell within the vehicle or plant.","● Fuel cell fabrication and testing technicians will need to understand the operations and functions of proton exchange membrane and alkaline fuel cells, the two most currently widespread fuel cells in the wider market, as well as their relative advantages and disadvantages. Alkaline fuel cells for instance, have lower operating temperatures and are quick to start-up, but are sensitive to carbon dioxide presence in fuel and air
● Fuel cell technicians will also need to understand the ongoing technological developments in rarer fuel cell types that are still being prototyped for different application, such as molten carbonate and solid oxide fuel cells."
Fitter and Turner,"Production, Transport and Distribution, Storage, Transport Fuel, Export Fuel","● Certificate III in Engineering – Mechanical Trade
● Electrical Equipment in Hazardous Areas 
certification
● Occupational Health and Safety white card
● Relevant licence depending on state/territory jurisdiction.","Fitters and turners grind, shape, fit and assemble metal parts to fabricate production machines and other equipment. They check the fabricated parts for conformance to specifications, and determine suitable materials, methods and sequences of operation for these machines. They assemble and fit both plant 
machinery and vehicle components depending on the configuration of the hydrogen project.","● They will need a basic understanding of hydrogen and its property risks (including its flammability, odour, appearance, and hazardous areas)
● They will also need to know the chemical reactions that hydrogen has with steel and other materials, which frequently contributes to pipeline embrittlement and crack propagation. This may influence the materials fitter and turners select in their work
● Depending on the type of plant being constructed, they may need knowledge of electrical systems and how those will interface with the plant’s processes."
Engineering Manager,"Production, Storage, Blending into Gas Networks","● Membership of Engineers Australia and registration as a Chartered Professional 
Engineer
● Bachelor’s Degree or higher in the relevant discipline (e.g. Chemical Engineering)
● At least six years’ work experience in related projects.","Engineering managers plan, organise, direct, control and coordinate the engineering and technical operations of organisations. They establish project schedules and budgets, and also ensure compliance with laws, regulations and safety standards.","● Engineering managers will need a base understanding of hydrogen’s chemical properties and any property risks. This includes an understanding of hydrogen’s lack of odour and invisibility when ignited, as well as its flammability
● They will also need to understand which materials may be selected for different hydrogen processes (e.g. stainless steel as a model for transporting hydrogen)
● Depending on previous experience, their skills in designing and interpreting plans for either power electronics or high pressure gas systems may need some augmentation to understand how they interact in hydrogen production plants
● Safety considerations such as knowledge of hazardous areas and safety zones is paramount."
Electronics Engineer,"Production, Transport and Distribution, Blending into Gas Networks","● Engineers Australia membership
(inc. accredited degree as specified)
● Bachelor’s Degree or higher in an Engineering discipline or Information Systems
● At least five years experience in related projects
● Prior experience with programming languages and automation suites.","Electronics engineers plan, design and monitor equipment that helps maintain manufacturing or operating processes within a set of parameters. They ensure that processes and finished work continuously remains within specifications and, in some instances, may design ways for this monitoring to be undertaken remotely.
Note: This job role is also seen as encapsulating mechatronics and robotics engineers and related specialisations.","● Electronics engineers will need to factor in hydrogen’s specific properties when they design and program control modules that will ensure chemical processes occur safely and efficiently
● This programming may also demand integrating specific components from various suppliers who specialise in hydrogen production 
● They will also need an understanding of high pressure gas systems and vessels, as these are necessary when storing or transporting hydrogen."
Electrician,"Production, Transport and Distribution, Storage, Export Fuel","● Certificate III in Instrumentation and Control
● Electrical Equipment in Hazardous Areas 
certification
● Occupational Health and Safety white card
● Relevant licence depending on state/territory jurisdiction.","Electricians install, test, connect, commission, maintain and modify electrical equipment, wiring and control systems. They examine wiring diagrams and specifications, connect wire and cable to terminals and connectors, and use electrical/electronic equipment to analyse and find faults in systems. They may also be expected to service and repair some complex electronic circuitry.","● Electricians working on hydrogen production plants may need certification to engage with high voltage power electronics (e.g. substations, transformers) that supply power to electrolysers, for example
● They may also need a general understanding of hydrogen fuel cells and their operating principles
● A key hydrogen property risk that they will need to consider is hydrogen’s ignition sources and flammable areas
● In consultation, hydrogen producers noted that EEHA certification is critical to working with hydrogen."
Electrical Instrumentation Technician,"Production, Transport and Distribution, Storage, Transport Fuel, Export Fuel","● Certificate III in Instrumentation and Control
● Electrical Equipment in Hazardous Areas 
certification
● Occupational Health and Safety white card
● Relevant licence depending on state/territory jurisdiction.","Electrical instrumentation technicians examine and test machines, equipment and control systems to diagnose faults. They replace defective parts, install, wire and maintain machines and equipment. They are expected to hold knowledge of electrical, electronic, mechanical and pneumatic systems in undertaking this work.","● Electrical instrumentation technicians will need to be prepared for high pressure gas systems, particularly as hydrogen’s lightness poses a risk to small bore tubing and other vessels’ ability to keep the gas contained
● Installation and inspection of these components will require a high skill level and familiarity with degradation mechanisms, such as vibration, pitting corrosion and chloride induced stress corrosion cracking
● A key hydrogen property risk that they will need to consider is hydrogen’s ignition sources and flammable areas
● In consultation, hydrogen producers noted that Electrical Equipment in Hazardous Areas (EEHA) certification is critical to working with hydrogen."
