Occupation,Hydrogen Capabilities,Value Chain,Technology
Maintenance Technician,"Knowledge of appropriate maintenance of hydrogen fuelling systems including pressure vessels, vaporizers, flow, level and pressure control instrumentation, dispensers, pumps, programmable logic controllers (PLC), compressors, human–machine interface, and control software ; Appropriate selection and maintenance of pressure vessels, compression systems and related instrumentation, and controls equipment and systems associated with hydrogen fuelling system; Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen; Knowledge of hydrogen-related regulations, standards, and codes; Operating, monitoring, maintaining, and testing hydrogen-related equipment",Hydrogen End-Use Application,Hydrogen Fueling Station
Test Technician,"Troubleshooting and routine maintenance of hydrogen fuel compression and dispensing equipment; Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen; Operating, monitoring, maintaining, and testing hydrogen-related equipment",Hydrogen End-Use Application,Hydrogen Fueling Station
Cylinder Technician,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen",Hydrogen End-Use Application,Hydrogen Fueling Station
Fuel Cell Electric Vehicle (FCEV) Technician,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen",Hydrogen End-Use Application,Hydrogen Fueling Station
Fuel Cell Technician,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen",Hydrogen End-Use Application,Hydrogen Fueling Station
HVAC Technician,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen; Knowledge of hydrogen-related regulations, standards, and codes",Hydrogen End-Use Application,Hydrogen Fueling Station
Refueling Techician,"Knowledge of appropriate maintenance of hydrogen fuelling systems including pressure vessels, vaporizers, flow, level and pressure control instrumentation, dispensers, pumps, programmable logic controllers (PLC), compressors, human–machine interface, and control software ; Appropriate selection and maintenance of pressure vessels, compression systems and related instrumentation, and controls equipment and systems associated with hydrogen fuelling system; Troubleshooting and routine maintenance of hydrogen fuel compression and dispensing equipment; Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen; Knowledge of hydrogen-related regulations, standards, and codes",Hydrogen End-Use Application,Hydrogen Fueling Station
Utility Service Technician,"Knowledge of hydrogen-related regulations, standards, and codes",Hydrogen End-Use Application,Hydrogen Fueling Station
Instrumentation Technician,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen",Hydrogen End-Use Application,Hydrogen Fueling Station
Mechatronics Technician,"Knowledge of appropriate maintenance of hydrogen fuelling systems including pressure vessels, vaporizers, flow, level and pressure control instrumentation, dispensers, pumps, programmable logic controllers (PLC), compressors, human–machine interface, and control software ; Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen",Hydrogen End-Use Application,Hydrogen Fueling Station
Materials Technician,"Hydrogen properties, behaviour, and potential hazards created; Operating, monitoring, maintaining, and testing hydrogen-related equipment",Hydrogen End-Use Application,Hydrogen Fueling Station
Marine Technician,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen; Knowledge of hydrogen-related regulations, standards, and codes",Hydrogen End-Use Application,Hydrogen Fueling Station
Electrochemical Technician,"Hydrogen properties, behaviour, and potential hazards created",Hydrogen End-Use Application,Hydrogen Fueling Station
Safety Technician,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen; Knowledge of hydrogen-related regulations, standards, and codes",Hydrogen End-Use Application,Hydrogen Fueling Station
System Integration Technician,"Knowledge of appropriate maintenance of hydrogen fuelling systems including pressure vessels, vaporizers, flow, level and pressure control instrumentation, dispensers, pumps, programmable logic controllers (PLC), compressors, human–machine interface, and control software ",Hydrogen End-Use Application,Hydrogen Fueling Station
Operation Technician,"Hydrogen properties, behaviour, and potential hazards created; Knowledge of hydrogen-related regulations, standards, and codes; Operating, monitoring, maintaining, and testing hydrogen-related equipment",Hydrogen End-Use Application,Hydrogen Fueling Station
Renewable Energy Technician,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen; Operating, monitoring, maintaining, and testing hydrogen-related equipment",Hydrogen End-Use Application,Hydrogen Fueling Station
Manufacturing Production Technician,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen; Operating, monitoring, maintaining, and testing hydrogen-related equipment",Hydrogen End-Use Application,Hydrogen Fueling Station
"Pipeline Technician: Electrical and Instrumentation, Mechanical","Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen; Knowledge of hydrogen-related regulations, standards, and codes",Hydrogen End-Use Application,Hydrogen Fueling Station
Locomotive Electrician,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen",Hydrogen End-Use Application,Hydrogen Fueling Station
Electrician,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen",Hydrogen End-Use Application,Hydrogen Fueling Station
Reservoir Technoligist,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen",Hydrogen End-Use Application,Hydrogen Fueling Station
Compression Station Operator,"Appropriate selection and maintenance of pressure vessels, compression systems and related instrumentation, and controls equipment and systems associated with hydrogen fuelling system; Troubleshooting and routine maintenance of hydrogen fuel compression and dispensing equipment",Hydrogen End-Use Application,Hydrogen Fueling Station
Control Room Operator,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen",Hydrogen End-Use Application,Hydrogen Fueling Station
Well Completions Operator,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen; Knowledge of hydrogen-related regulations, standards, and codes",Hydrogen End-Use Application,Hydrogen Fueling Station
Plant Operator,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen",Hydrogen End-Use Application,Hydrogen Fueling Station
Utility Operator,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen; Knowledge of hydrogen-related regulations, standards, and codes",Hydrogen End-Use Application,Hydrogen Fueling Station
Heavy-duty Mechanic (Duel Fuel),"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen; Knowledge of hydrogen-related regulations, standards, and codes",Hydrogen End-Use Application,Hydrogen Fueling Station
Truck Driver,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen",Hydrogen End-Use Application,Hydrogen Fueling Station
Gas Fitter,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen",Hydrogen End-Use Application,Hydrogen Fueling Station
Fitter and Turner,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen; Knowledge of hydrogen-related regulations, standards, and codes",Hydrogen End-Use Application,Hydrogen Fueling Station
Commissioning Technician,"Appropriate selection and maintenance of key electrical and electronic equipment and systems associated with an electrolyser hydrogen production plant; Appropriate selection and maintenance of key instrumentation equipment and systems associated with an electrolyser hydrogen production plant; Knowledge of appropriate materials, seals, and coatings; Maintenance of vessels, compressors, piping systems and fitting, valves, and such to withstand hydrogen pressure and temperatures; Appropriate selection and maintenance of electrical equipment and instrumentation systems required for hydrogen; Maintenance of mechanical equipment to withstand hydrogen pressure and temperatures; Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen; Operating, monitoring, maintaining, and testing hydrogen-related equipment",Hydrogen Production ,<not_included>
Chemical Process Technician,"Understanding electrochemical reactions, processes, and hydrogen production processes; Appropriate selection and maintenance of key electrical and electronic equipment and systems associated with an electrolyser hydrogen production plant; Appropriate selection and maintenance of key instrumentation equipment and systems associated with an electrolyser hydrogen production plant; Knowledge of appropriate materials, seals, and coatings; Understanding the properties and characteristics of hydrogen in a liquid and gaseous state ; Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen; Knowledge of hydrogen-related regulations, standards, and codes",Hydrogen Production ,<not_included>
Chemical Laboratory Technician,"Understanding electrochemical reactions, processes, and hydrogen production processes; Understanding the properties and characteristics of hydrogen in a liquid and gaseous state ; Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen; Knowledge of hydrogen-related regulations, standards, and codes",Hydrogen Production ,<not_included>
Mechanical Technician,"Appropriate selection and maintenance of key instrumentation equipment and systems associated with an electrolyser hydrogen production plant; Knowledge of appropriate materials, seals, and coatings; Maintenance of mechanical equipment to withstand hydrogen pressure and temperatures; Knowledge of appropriate materials, seals, and coatings.1; Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen",Hydrogen Production ,<not_included>
Maintenance Technician,"Appropriate selection and maintenance of key electrical and electronic equipment and systems associated with an electrolyser hydrogen production plant; Appropriate selection and maintenance of key instrumentation equipment and systems associated with an electrolyser hydrogen production plant; Knowledge of appropriate materials, seals, and coatings; Appropriate selection and maintenance of electrical equipment and instrumentation systems required for hydrogen; Maintenance of mechanical equipment to withstand hydrogen pressure and temperatures; Knowledge of appropriate materials, seals, and coatings.1; Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen; Knowledge of hydrogen-related regulations, standards, and codes; Operating, monitoring, maintaining, and testing hydrogen-related equipment",Hydrogen Production ,<not_included>
Test Technician,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen; Operating, monitoring, maintaining, and testing hydrogen-related equipment",Hydrogen Production ,<not_included>
Cylinder Technician,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen",Hydrogen Production ,<not_included>
Fuel Cell Electric Vehicle (FCEV) Technician,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen",Hydrogen Production ,<not_included>
Fuel Cell Technician,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen",Hydrogen Production ,<not_included>
HVAC Technician,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen; Knowledge of hydrogen-related regulations, standards, and codes",Hydrogen Production ,<not_included>
Electrolyser Technician,Appropriate selection and maintenance of key electrical and electronic equipment and systems associated with an electrolyser hydrogen production plant; Appropriate selection and maintenance of key instrumentation equipment and systems associated with an electrolyser hydrogen production plant; Understanding the properties and characteristics of hydrogen in a liquid and gaseous state ,Hydrogen Production ,<not_included>
Refueling Techician,"Maintenance of vessels, compressors, piping systems and fitting, valves, and such to withstand hydrogen pressure and temperatures; Understanding the properties and characteristics of hydrogen in a liquid and gaseous state ; Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen; Knowledge of hydrogen-related regulations, standards, and codes",Hydrogen Production ,<not_included>
Utility Service Technician,"Knowledge of hydrogen-related regulations, standards, and codes",Hydrogen Production ,<not_included>
Instrumentation Technician,"Appropriate selection and maintenance of key instrumentation equipment and systems associated with an electrolyser hydrogen production plant; Appropriate selection and maintenance of electrical equipment and instrumentation systems required for hydrogen; Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen",Hydrogen Production ,<not_included>
Mechatronics Technician,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen",Hydrogen Production ,<not_included>
Materials Technician,"Knowledge of appropriate materials, seals, and coatings; Knowledge of appropriate materials, seals, and coatings.1; Hydrogen properties, behaviour, and potential hazards created; Operating, monitoring, maintaining, and testing hydrogen-related equipment",Hydrogen Production ,<not_included>
Marine Technician,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen; Knowledge of hydrogen-related regulations, standards, and codes",Hydrogen Production ,<not_included>
Electrochemical Technician,"Understanding electrochemical reactions, processes, and hydrogen production processes; Understanding the properties and characteristics of hydrogen in a liquid and gaseous state ; Hydrogen properties, behaviour, and potential hazards created",Hydrogen Production ,<not_included>
Safety Technician,"Understanding the properties and characteristics of hydrogen in a liquid and gaseous state ; Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen; Knowledge of hydrogen-related regulations, standards, and codes",Hydrogen Production ,<not_included>
Operation Technician,"Operating the machine and equipment used to drill hydrogen injection wells and monitoring wells in deep isolated rock formations; Hydrogen properties, behaviour, and potential hazards created; Knowledge of hydrogen-related regulations, standards, and codes; Operating, monitoring, maintaining, and testing hydrogen-related equipment",Hydrogen Production ,<not_included>
Renewable Energy Technician,"Understanding electrochemical reactions, processes, and hydrogen production processes; Understanding the properties and characteristics of hydrogen in a liquid and gaseous state ; Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen; Operating, monitoring, maintaining, and testing hydrogen-related equipment",Hydrogen Production ,<not_included>
Welder,Understanding the properties and characteristics of hydrogen in a liquid and gaseous state ,Hydrogen Production ,<not_included>
Manufacturing Production Technician,"Understanding electrochemical reactions, processes, and hydrogen production processes; Understanding the properties and characteristics of hydrogen in a liquid and gaseous state ; Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen; Operating, monitoring, maintaining, and testing hydrogen-related equipment",Hydrogen Production ,<not_included>
"Pipeline Technician: Electrical and Instrumentation, Mechanical","Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen; Knowledge of hydrogen-related regulations, standards, and codes",Hydrogen Production ,<not_included>
Locomotive Electrician,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen",Hydrogen Production ,<not_included>
Electrician,"Appropriate selection and maintenance of key electrical and electronic equipment and systems associated with an electrolyser hydrogen production plant; Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen",Hydrogen Production ,<not_included>
Drilling Crew,Operating the machine and equipment used to drill hydrogen injection wells and monitoring wells in deep isolated rock formations,Hydrogen Production ,<not_included>
Reservoir Technoligist,"Understanding the properties and characteristics of hydrogen in a liquid and gaseous state ; Understanding reservoir data as it relates to hydrogen injection and storage; Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen",Hydrogen Production ,<not_included>
Control Room Operator,"Understanding electrochemical reactions, processes, and hydrogen production processes; Understanding the properties and characteristics of hydrogen in a liquid and gaseous state ; Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen",Hydrogen Production ,<not_included>
Well Completions Operator,"Understanding the properties and characteristics of hydrogen in a liquid and gaseous state ; Understanding appropriate wellcompletion solutions for hydrogen; Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen; Knowledge of hydrogen-related regulations, standards, and codes",Hydrogen Production ,<not_included>
Plant Operator,"Understanding electrochemical reactions, processes, and hydrogen production processes; Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen",Hydrogen Production ,<not_included>
Utility Operator,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen; Knowledge of hydrogen-related regulations, standards, and codes",Hydrogen Production ,<not_included>
Heavy-duty Mechanic (Duel Fuel),"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen; Knowledge of hydrogen-related regulations, standards, and codes",Hydrogen Production ,<not_included>
Truck Driver,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen",Hydrogen Production ,<not_included>
Gas Fitter,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen",Hydrogen Production ,<not_included>
Fitter and Turner,"Appropriate selection and maintenance of key electrical and electronic equipment and systems associated with an electrolyser hydrogen production plant; Appropriate selection and maintenance of electrical equipment and instrumentation systems required for hydrogen; Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen; Knowledge of hydrogen-related regulations, standards, and codes",Hydrogen Production ,<not_included>
Renewable Interconnect Specialist,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen End-Use Application,Hydrogen Power Generation 
Automation and Control Specialist,"Knowledge of automated process systems and control systems associated with power generation using hydrogen blending; Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen End-Use Application,Hydrogen Power Generation 
Compression specialist,"Appropriate selection, design, and maintenance of power generation equipment including compression, turbines, combustion, and such for hydrogen blending",Hydrogen End-Use Application,Hydrogen Power Generation 
Corrosion specialist,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen End-Use Application,Hydrogen Power Generation 
Measurement specialist,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen End-Use Application,Hydrogen Power Generation 
Pipeline integrity specialist,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen End-Use Application,Hydrogen Power Generation 
Tank tester or inspector,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen End-Use Application,Hydrogen Power Generation 
Transportation solutions advisor,"Appropriate selection of materials, coatings, odorants, inhibitors, and such for hydrogen blending; Appropriate selection, design, and maintenance of power generation equipment including compression, turbines, combustion, and such for hydrogen blending; Appropriate selection, design, modification to ventilation, leak detection, flame detection, corrosion prevention equipment, and systems for hydrogen blending ; Knowledge of hydrogen related regulations, standards, and codes; Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen End-Use Application,Hydrogen Power Generation 
Hydrogen integration specialist,"Strong industry knowledge and experience with hydrogen technologies, processes equipment, and components to withstand hydrogen pressure and temperatures; Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen End-Use Application,Hydrogen Power Generation 
Utility inspector,"Maintenance of equipment and systems involved in combined cycle power generation using hydrogen blending; Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen End-Use Application,Hydrogen Power Generation 
Lawyer,"Knowledge of hydrogen related regulations, standards, and codes",Hydrogen End-Use Application,Hydrogen Power Generation 
Safety and hazards specialist,"Hydrogen properties, behaviour, and potential hazards created",Hydrogen End-Use Application,Hydrogen Power Generation 
Business developer,"Hydrogen properties, behaviour, and potential hazards created",Hydrogen End-Use Application,Hydrogen Power Generation 
Supply chain specialist,"Strong industry knowledge and experience with hydrogen technologies, processes equipment, and components to withstand hydrogen pressure and temperatures; Appropriate selection, design, and maintenance of power generation equipment including compression, turbines, combustion, and such for hydrogen blending; Appropriate selection, design, and maintenance of including steam and combustion turbines, compressors, pressure vessels, valves, steam generators, boilers, pumps, piping systems, and other BOP equipment to withstand hydrogen pressure and temperatures; Knowledge of hydrogen related regulations, standards, and codes; Hydrogen properties, behaviour, and potential hazards created",Hydrogen End-Use Application,Hydrogen Power Generation 
Power-to-X technology specialist,"Strong industry knowledge and experience with hydrogen technologies, processes equipment, and components to withstand hydrogen pressure and temperatures; Appropriate selection, design, and maintenance of power generation equipment including compression, turbines, combustion, and such for hydrogen blending; Appropriate selection, design, and maintenance of including steam and combustion turbines, compressors, pressure vessels, valves, steam generators, boilers, pumps, piping systems, and other BOP equipment to withstand hydrogen pressure and temperatures; Knowledge of hydrogen related regulations, standards, and codes; Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen End-Use Application,Hydrogen Power Generation 
Hydrogen value chain e×pert,"Strong industry knowledge and experience with hydrogen technologies, processes equipment, and components to withstand hydrogen pressure and temperatures; Appropriate selection, design, and maintenance of power generation equipment including compression, turbines, combustion, and such for hydrogen blending; Appropriate selection, design, and maintenance of including steam and combustion turbines, compressors, pressure vessels, valves, steam generators, boilers, pumps, piping systems, and other BOP equipment to withstand hydrogen pressure and temperatures; Knowledge of hydrogen related regulations, standards, and codes; Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen End-Use Application,Hydrogen Power Generation 
Innovation specialist,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen End-Use Application,Hydrogen Power Generation 
Energy storage specialist,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen End-Use Application,Hydrogen Power Generation 
Energy transition specialist,"Knowledge of automated process systems and control systems associated with power generation using hydrogen blending; Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen End-Use Application,Hydrogen Power Generation 
Operation optimisation specialist,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen End-Use Application,Hydrogen Power Generation 
Technology commercialisation Specialist,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen End-Use Application,Hydrogen Power Generation 
Grid operation specialist,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen End-Use Application,Hydrogen Power Generation 
BOP specialist,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen End-Use Application,Hydrogen Power Generation 
Land acquisition specialist,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen End-Use Application,Hydrogen Power Generation 
Nanotechnology specialist,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen End-Use Application,Hydrogen Power Generation 
Marine engines e×pert,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen End-Use Application,Hydrogen Power Generation 
Plant manager,"Understanding combined-cycle power generation using hydrogen blending; Hydrogen properties, behaviour, and potential hazards created ; Safety when working with or around hydrogen",Hydrogen End-Use Application,Hydrogen Power Generation
Drilling and completions supervisor,"Hydrogen properties, behaviour, and potential hazards created ; Safety when working with or around hydrogen",Hydrogen End-Use Application,Hydrogen Power Generation
Pipeline scheduler,"Hydrogen properties, behaviour, and potential hazards created ; Safety when working with or around hydrogen",Hydrogen End-Use Application,Hydrogen Power Generation
Asset performance manager,"Hydrogen properties, behaviour, and potential hazards created ; Safety when working with or around hydrogen; Knowledge of hydrogen-related regulations, standards, and codes",Hydrogen End-Use Application,Hydrogen Power Generation
Utility services planner,"Hydrogen properties, behaviour, and potential hazards created ; Safety when working with or around hydrogen; Knowledge of hydrogen-related regulations, standards, and codes",Hydrogen End-Use Application,Hydrogen Power Generation
Maintenance planner,"Appropriate selection, design, and maintenance of power generation equipment including compression, turbines, combustion, and such for hydrogen blending; Understanding combined-cycle power generation using hydrogen blending; Appropriate selection, design, and maintenance of including steam and combustion turbines, compressors, pressure vessels, valves, steam generators, boilers, pumps, piping systems, and other BOP equipment to withstand hydrogen pressure and temperatures; Hydrogen properties, behaviour, and potential hazards created ; Safety when working with or around hydrogen; Knowledge of hydrogen-related regulations, standards, and codes",Hydrogen End-Use Application,Hydrogen Power Generation
Power scheduler,"Understanding combined-cycle power generation using hydrogen blending; Hydrogen properties, behaviour, and potential hazards created ; Safety when working with or around hydrogen",Hydrogen End-Use Application,Hydrogen Power Generation
Project manager,"Strong industry knowledge and experience with hydrogen technologies, processes equipment, and components to withstand hydrogen pressure and temperatures; Understanding combined-cycle power generation using hydrogen blending; Hydrogen properties, behaviour, and potential hazards created ; Safety when working with or around hydrogen",Hydrogen End-Use Application,Hydrogen Power Generation
Business and technology manager development manager,"Hydrogen properties, behaviour, and potential hazards created ; Safety when working with or around hydrogen; Knowledge of hydrogen-related regulations, standards, and codes",Hydrogen End-Use Application,Hydrogen Power Generation
Supply chain manager,Safety when working with or around hydrogen,Hydrogen End-Use Application,Hydrogen Power Generation
Sales and marketing manager,"Safety when working with or around hydrogen; Knowledge of hydrogen-related regulations, standards, and codes",Hydrogen End-Use Application,Hydrogen Power Generation
Administrative manager,"Safety when working with or around hydrogen; Knowledge of hydrogen-related regulations, standards, and codes",Hydrogen End-Use Application,Hydrogen Power Generation
Investment manager,"Safety when working with or around hydrogen; Knowledge of hydrogen-related regulations, standards, and codes",Hydrogen End-Use Application,Hydrogen Power Generation
Communications manager,"Safety when working with or around hydrogen; Knowledge of hydrogen-related regulations, standards, and codes",Hydrogen End-Use Application,Hydrogen Power Generation
Plant manager,"Hydrogen properties, behaviour, and potential hazards created ; Safety when working with or around hydrogen",Hydrogen End-Use Application,Hydrogen Heating Application
Drilling and completions supervisor,"Hydrogen properties, behaviour, and potential hazards created ; Safety when working with or around hydrogen",Hydrogen End-Use Application,Hydrogen Heating Application
Pipeline scheduler,"Hydrogen properties, behaviour, and potential hazards created ; Safety when working with or around hydrogen",Hydrogen End-Use Application,Hydrogen Heating Application
