Occupation,Hydrogen Capabilities,Value Chain,Technology
Business developer,"Hydrogen properties, behaviour, and potential hazards created",Hydrogen End-Use Application,Hydrogen Power Generation 
Supply chain specialist,"Strong industry knowledge and experience with hydrogen technologies, processes equipment, and components to withstand hydrogen pressure and temperatures; Appropriate selection, design, and maintenance of power generation equipment including compression, turbines, combustion, and such for hydrogen blending; Appropriate selection, design, and maintenance of including steam and combustion turbines, compressors, pressure vessels, valves, steam generators, boilers, pumps, piping systems, and other BOP equipment to withstand hydrogen pressure and temperatures; Knowledge of hydrogen related regulations, standards, and codes; Hydrogen properties, behaviour, and potential hazards created",Hydrogen End-Use Application,Hydrogen Power Generation 
Power-to-X technology specialist,"Strong industry knowledge and experience with hydrogen technologies, processes equipment, and components to withstand hydrogen pressure and temperatures; Appropriate selection, design, and maintenance of power generation equipment including compression, turbines, combustion, and such for hydrogen blending; Appropriate selection, design, and maintenance of including steam and combustion turbines, compressors, pressure vessels, valves, steam generators, boilers, pumps, piping systems, and other BOP equipment to withstand hydrogen pressure and temperatures; Knowledge of hydrogen related regulations, standards, and codes; Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen End-Use Application,Hydrogen Power Generation 
Hydrogen value chain e×pert,"Strong industry knowledge and experience with hydrogen technologies, processes equipment, and components to withstand hydrogen pressure and temperatures; Appropriate selection, design, and maintenance of power generation equipment including compression, turbines, combustion, and such for hydrogen blending; Appropriate selection, design, and maintenance of including steam and combustion turbines, compressors, pressure vessels, valves, steam generators, boilers, pumps, piping systems, and other BOP equipment to withstand hydrogen pressure and temperatures; Knowledge of hydrogen related regulations, standards, and codes; Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen End-Use Application,Hydrogen Power Generation 
Public relations specialist,,Hydrogen End-Use Application,Hydrogen Power Generation 
Administration specialist,,Hydrogen End-Use Application,Hydrogen Power Generation 
IT specialist,,Hydrogen End-Use Application,Hydrogen Power Generation 
Sustainability specialist,,Hydrogen End-Use Application,Hydrogen Power Generation 
Innovation specialist,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen End-Use Application,Hydrogen Power Generation 
Energy storage specialist,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen End-Use Application,Hydrogen Power Generation 
Energy transition specialist,"Knowledge of automated process systems and control systems associated with power generation using hydrogen blending; Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen End-Use Application,Hydrogen Power Generation 
Operation optimisation specialist,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen End-Use Application,Hydrogen Power Generation 
Technology commercialisation Specialist,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen End-Use Application,Hydrogen Power Generation 
Grid operation specialist,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen End-Use Application,Hydrogen Power Generation 
BOP specialist,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen End-Use Application,Hydrogen Power Generation 
Land acquisition specialist,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen End-Use Application,Hydrogen Power Generation 
Nanotechnology specialist,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen End-Use Application,Hydrogen Power Generation 
Marine engines e×pert,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen End-Use Application,Hydrogen Power Generation 
Artificial intelligence specialist,,Hydrogen End-Use Application,Hydrogen Power Generation 
Cybersecurity specialist,,Hydrogen End-Use Application,Hydrogen Power Generation 
Political scientist,,Hydrogen End-Use Application,Hydrogen Power Generation 
