Occupation,Hydrogen Capabilities,Value Chain,Technology
Materials Engineer,"Hydrogen properties, behaviour, and potential hazards created; Understanding properties and characteristics of hydrogen in a liquid and gaseous state; Safety when working with or around hydrogen",Hydrogen End-Use Application,Hydrogen Fuelling Station
Systems Engineer,"Knowledge of electrical equipment and instrumentation systems required for hydrogen fuelling systems; Understanding cryogenic and gaseous hydrogen storage and delivery systems; Design and selection of compression systems for hydrogen pressure and temperatures associated with hydrogen fuelling systems; Design and selection of pressure vessels, piping systems and fitting, valves and seals, coatings, and insulation to withstand hydrogen pressure and temperatures associated with hydrogen fuelling systems; Hydrogen properties, behaviour, and potential hazards created; Understanding properties and characteristics of hydrogen in a liquid and gaseous state; Safety when working with or around hydrogen",Hydrogen End-Use Application,Hydrogen Fuelling Station
Renewable Energy Engineer,"Understanding hydrogen compression processes; Hydrogen properties, behaviour, and potential hazards created; Understanding properties and characteristics of hydrogen in a liquid and gaseous state; Safety when working with or around hydrogen",Hydrogen End-Use Application,Hydrogen Fuelling Station
Refueling Station Engineer,"Knowledge of electrical equipment and instrumentation systems required for hydrogen fuelling systems; Understanding hydrogen compression processes; Understanding cryogenic and gaseous hydrogen storage and delivery systems; Design and selection of compression systems for hydrogen pressure and temperatures associated with hydrogen fuelling systems; Design and selection of pressure vessels, piping systems and fitting, valves and seals, coatings, and insulation to withstand hydrogen pressure and temperatures associated with hydrogen fuelling systems; Hydrogen properties, behaviour, and potential hazards created; Understanding properties and characteristics of hydrogen in a liquid and gaseous state; Safety when working with or around hydrogen; Knowledge of hydrogen-related regulations, standards, and codes",Hydrogen End-Use Application,Hydrogen Fuelling Station
Electrolysis Engineer,"Hydrogen properties, behaviour, and potential hazards created; Understanding properties and characteristics of hydrogen in a liquid and gaseous state; Safety when working with or around hydrogen; Knowledge of hydrogen-related regulations, standards, and codes",Hydrogen End-Use Application,Hydrogen Fuelling Station
Electrochemical Engineer,"Understanding cryogenic and gaseous hydrogen storage and delivery systems; Hydrogen properties, behaviour, and potential hazards created; Understanding properties and characteristics of hydrogen in a liquid and gaseous state; Safety when working with or around hydrogen; Knowledge of hydrogen-related regulations, standards, and codes",Hydrogen End-Use Application,Hydrogen Fuelling Station
Fuel Cell Engineer,"Understanding hydrogen compression processes; Hydrogen properties, behaviour, and potential hazards created; Understanding properties and characteristics of hydrogen in a liquid and gaseous state; Safety when working with or around hydrogen; Knowledge of hydrogen-related regulations, standards, and codes",Hydrogen End-Use Application,Hydrogen Fuelling Station
Marine Engineer,"Hydrogen properties, behaviour, and potential hazards created; Understanding properties and characteristics of hydrogen in a liquid and gaseous state; Safety when working with or around hydrogen; Knowledge of hydrogen-related regulations, standards, and codes",Hydrogen End-Use Application,Hydrogen Fuelling Station
Hydraulic Engineer,"Hydrogen properties, behaviour, and potential hazards created; Understanding properties and characteristics of hydrogen in a liquid and gaseous state; Safety when working with or around hydrogen; Knowledge of hydrogen-related regulations, standards, and codes",Hydrogen End-Use Application,Hydrogen Fuelling Station
Design Engineer,"Design and selection of compression systems for hydrogen pressure and temperatures associated with hydrogen fuelling systems; Design and selection of pressure vessels, piping systems and fitting, valves and seals, coatings, and insulation to withstand hydrogen pressure and temperatures associated with hydrogen fuelling systems; Hydrogen properties, behaviour, and potential hazards created; Understanding properties and characteristics of hydrogen in a liquid and gaseous state; Safety when working with or around hydrogen; Knowledge of hydrogen-related regulations, standards, and codes",Hydrogen End-Use Application,Hydrogen Fuelling Station
Quality Engineer,"Hydrogen properties, behaviour, and potential hazards created; Understanding properties and characteristics of hydrogen in a liquid and gaseous state; Safety when working with or around hydrogen; Knowledge of hydrogen-related regulations, standards, and codes",Hydrogen End-Use Application,Hydrogen Fuelling Station
