Occupation,Hydrogen Capabilities,Value Chain,Technology
Materials Technician,"Knowledge of appropriate materials, seals, and coatings to use with hydrogen blending; Hydrogen properties, behaviour, and potential hazards created; Operating, monitoring, maintaining, and testing hydrogen-related equipment",Hydrogen End-Use Application,Hydrogen Power Generation
Marine Technician,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen; Knowledge of hydrogen-related regulations, standards, and codes",Hydrogen End-Use Application,Hydrogen Power Generation
Electrochemical Technician,"Understanding combined cycle power generation using hydrogen blending; Hydrogen properties, behaviour, and potential hazards created",Hydrogen End-Use Application,Hydrogen Power Generation
Safety Technician,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen; Knowledge of hydrogen-related regulations, standards, and codes",Hydrogen End-Use Application,Hydrogen Power Generation
System Integration Technician,Appropriate selection and maintenance of key electrical and electronic equipment and systems associated with power generation using hydrogen blending,Hydrogen End-Use Application,Hydrogen Power Generation
Operation Technician,"Hydrogen properties, behaviour, and potential hazards created; Knowledge of hydrogen-related regulations, standards, and codes; Operating, monitoring, maintaining, and testing hydrogen-related equipment",Hydrogen End-Use Application,Hydrogen Power Generation
Renewable Energy Technician,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen; Operating, monitoring, maintaining, and testing hydrogen-related equipment",Hydrogen End-Use Application,Hydrogen Power Generation
Welder,,Hydrogen End-Use Application,Hydrogen Power Generation
Assembly Technician,Appropriate selection and maintenance of key electrical and electronic equipment and systems associated with power generation using hydrogen blending,Hydrogen End-Use Application,Hydrogen Power Generation
Manufacturing Production Technician,"Understanding combined cycle power generation using hydrogen blending; Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen; Operating, monitoring, maintaining, and testing hydrogen-related equipment",Hydrogen End-Use Application,Hydrogen Power Generation
"Pipeline Technician: Electrical and Instrumentation, Mechanical","Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen; Knowledge of hydrogen-related regulations, standards, and codes",Hydrogen End-Use Application,Hydrogen Power Generation
Locomotive Electrician,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen",Hydrogen End-Use Application,Hydrogen Power Generation
Electrician,"Understanding combined cycle power generation using hydrogen blending; Appropriate selection and maintenance of key electrical and electronic equipment and systems associated with power generation using hydrogen blending; Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen",Hydrogen End-Use Application,Hydrogen Power Generation
Drilling Crew,,Hydrogen End-Use Application,Hydrogen Power Generation
Reservoir Technoligist,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen",Hydrogen End-Use Application,Hydrogen Power Generation
Compression Station Operator,,Hydrogen End-Use Application,Hydrogen Power Generation
Control Room Operator,"Understanding combined cycle power generation using hydrogen blending; Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen",Hydrogen End-Use Application,Hydrogen Power Generation
Well Completions Operator,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen; Knowledge of hydrogen-related regulations, standards, and codes",Hydrogen End-Use Application,Hydrogen Power Generation
Plant Operator,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen",Hydrogen End-Use Application,Hydrogen Power Generation
Utility Operator,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen; Knowledge of hydrogen-related regulations, standards, and codes",Hydrogen End-Use Application,Hydrogen Power Generation
Heavy-duty Mechanic (Duel Fuel),"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen; Knowledge of hydrogen-related regulations, standards, and codes",Hydrogen End-Use Application,Hydrogen Power Generation
Truck Driver,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen",Hydrogen End-Use Application,Hydrogen Power Generation
Gas Fitter,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen",Hydrogen End-Use Application,Hydrogen Power Generation
Fitter and Turner,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen; Knowledge of hydrogen-related regulations, standards, and codes",Hydrogen End-Use Application,Hydrogen Power Generation
