Occupation,Hydrogen Capabilities,Value Chain,Technology
Utility inspector,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen Distribution and Transportation ,<not_included>
Economic modelling specialist,Knowledge of hydrogen value chains,Hydrogen Distribution and Transportation ,<not_included>
Economist,Knowledge of hydrogen value chains,Hydrogen Distribution and Transportation ,<not_included>
Finance specialist,Knowledge of hydrogen value chains,Hydrogen Distribution and Transportation ,<not_included>
Communications and marketing specialist,Knowledge of hydrogen value chains,Hydrogen Distribution and Transportation ,<not_included>
Lawyer,"Knowledge of hydrogen value chains; Understanding relevant hydrogen regulations, codes, and standards",Hydrogen Distribution and Transportation ,<not_included>
Safety and hazards specialist,"Knowledge of hydrogen value chains; Hydrogen properties, behaviour, and potential hazards created",Hydrogen Distribution and Transportation ,<not_included>
Business developer,"Knowledge of hydrogen value chains; Knowledge of hydrogen production, distribution, and dispensing technology to meet the needs of different fleets; Understanding relevant hydrogen regulations, codes, and standards; Hydrogen properties, behaviour, and potential hazards created",Hydrogen Distribution and Transportation ,<not_included>
Supply chain specialist,"Knowledge of hydrogen value chains; Knowledge of hydrogen production, distribution, and dispensing technology to meet the needs of different fleets; Understanding relevant hydrogen regulations, codes, and standards; Hydrogen properties, behaviour, and potential hazards created",Hydrogen Distribution and Transportation ,<not_included>
Power-to-X technology specialist,"Knowledge of hydrogen value chains; Knowledge of hydrogen production, distribution, and dispensing technology to meet the needs of different fleets; Understanding relevant hydrogen regulations, codes, and standards; Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen Distribution and Transportation ,<not_included>
Hydrogen value chain e×pert,"Knowledge of hydrogen value chains; Knowledge of hydrogen production, distribution, and dispensing technology to meet the needs of different fleets; Understanding relevant hydrogen regulations, codes, and standards; Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen Distribution and Transportation ,<not_included>
Public relations specialist,Knowledge of hydrogen value chains,Hydrogen Distribution and Transportation ,<not_included>
Administration specialist,,Hydrogen Distribution and Transportation ,<not_included>
IT specialist,,Hydrogen Distribution and Transportation ,<not_included>
Sustainability specialist,Knowledge of hydrogen value chains,Hydrogen Distribution and Transportation ,<not_included>
Innovation specialist,"Knowledge of hydrogen value chains; Appropriate selection, design, and maintenance of hydrogen compression, turbine systems, and equipment; Knowledge of hydrogen fuel cell technology, how it works, and value proposition relating to emissions targets and cost-effectiveness; Knowledge of hydrogen production, distribution, and dispensing technology to meet the needs of different fleets; Understanding relevant hydrogen regulations, codes, and standards; Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen Distribution and Transportation ,<not_included>
Energy storage specialist,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen Distribution and Transportation ,<not_included>
Energy transition specialist,"Knowledge of hydrogen value chains; Knowledge of hydrogen production, distribution, and dispensing technology to meet the needs of different fleets; Understanding relevant hydrogen regulations, codes, and standards; Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen Distribution and Transportation ,<not_included>
Operation optimisation specialist,"Knowledge of hydrogen value chains; Knowledge of hydrogen production, distribution, and dispensing technology to meet the needs of different fleets; Understanding relevant hydrogen regulations, codes, and standards; Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen Distribution and Transportation ,<not_included>
Technology commercialisation Specialist,"Knowledge of hydrogen value chains; Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen Distribution and Transportation ,<not_included>
Grid operation specialist,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen Distribution and Transportation ,<not_included>
BOP specialist,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen Distribution and Transportation ,<not_included>
Land acquisition specialist,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen Distribution and Transportation ,<not_included>
Nanotechnology specialist,"Knowledge of hydrogen value chains; Knowledge and selection of the type of materials, coatings, and inhibitors to use to protect from hydrogen corrosion and embrittlement; Understanding materials behaviour in high pressure hydrogen; Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen Distribution and Transportation ,<not_included>
Marine engines e×pert,"Knowledge of hydrogen value chains; Understanding measurement equipment and instrumentation associated with hydrogen transmission; Appropriate selection and design of vessels, compressors, piping systems and fitting, valves, and seals to withstand high hydrogen pressure; Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen Distribution and Transportation ,<not_included>
Artificial intelligence specialist,,Hydrogen Distribution and Transportation ,<not_included>
Cybersecurity specialist,,Hydrogen Distribution and Transportation ,<not_included>
Political scientist,,Hydrogen Distribution and Transportation ,<not_included>
