Occupation,Hydrogen Capabilities,Value Chain,Technology
Innovation specialist,"Knowledge of automated process systems and control systems associated with electrolysers; Understanding electrochemical reactions, processes, and hydrogen production ; Understanding hydrogen production process ; Knowledge of hydrogen gas value chains; Knowledge of key high power electrical equipment and interconnection applications associated with renewable electricity–powered electrolyser produced hydrogen; Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen Production,<not_included>
Energy storage specialist,"Understanding hydrogen production process ; Knowledge of hydrogen gas value chains; Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen Production,<not_included>
Energy transition specialist,"Understanding hydrogen production process ; Knowledge of hydrogen gas value chains; Insights on hydrogen production, economies, risks, technology, renewables, and scaling; Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen Production,<not_included>
Operation optimisation specialist,"Understanding hydrogen production process ; Knowledge of hydrogen gas value chains; Insights on hydrogen production, economies, risks, technology, renewables, and scaling; Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen Production,<not_included>
Technology commercialisation Specialist,"Understanding hydrogen production process ; Knowledge of hydrogen gas value chains; Insights on hydrogen production, economies, risks, technology, renewables, and scaling; Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen Production,<not_included>
Grid operation specialist,"Understanding hydrogen production process ; Knowledge of hydrogen gas value chains; Knowledge of key high power electrical equipment and interconnection applications associated with renewable electricity–powered electrolyser produced hydrogen; Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen Production,<not_included>
BOP specialist,"Knowledge of automated process systems and control systems associated with electrolysers; Understanding hydrogen production process ; Appropriate selection, design, and maintenance of electrolysers, vessels, compressors, piping systems and fitting, valves, and seals to withstand hydrogen pressure and temperatures; Appropriate selection, design, and maintenance of combustion, compression, pumping and turbine systems, and equipment to withstand hydrogen pressure and temperatures; Knowledge of hydrogen gas value chains; Knowledge of key high power electrical equipment and interconnection applications associated with renewable electricity–powered electrolyser produced hydrogen; Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen Production,<not_included>
Land acquisition specialist,"Insights on hydrogen production, economies, risks, technology, renewables, and scaling; Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen Production,<not_included>
Nanotechnology specialist,"Understanding hydrogen production process ; Knowledge of hydrogen gas value chains; Insights on hydrogen production, economies, risks, technology, renewables, and scaling; Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen Production,<not_included>
Marine engines e×pert,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen Production,<not_included>
Artificial intelligence specialist,"Knowledge of automated process systems and control systems associated with electrolysers; Understanding hydrogen production process ; Knowledge of hydrogen gas value chains; Insights on hydrogen production, economies, risks, technology, renewables, and scaling",Hydrogen Production,<not_included>
Cybersecurity specialist,"Knowledge of automated process systems and control systems associated with electrolysers; Understanding hydrogen production process ; Knowledge of hydrogen gas value chains; Insights on hydrogen production, economies, risks, technology, renewables, and scaling",Hydrogen Production,<not_included>
Political scientist,"Understanding hydrogen production process ; Knowledge of hydrogen gas value chains; Insights on hydrogen production, economies, risks, technology, renewables, and scaling",Hydrogen Production,<not_included>
