Occupation,Hydrogen Capabilities,Value Chain,Technology
Marine Technician,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen; Knowledge of hydrogen-related regulations, standards, and codes",Hydrogen End-Use Application,Hydrogen Heating Application
Electrochemical Technician,"Hydrogen properties, behaviour, and potential hazards created",Hydrogen End-Use Application,Hydrogen Heating Application
Safety Technician,"Understanding procedures to trace, locate, and repair hydrogen leaks ; Knowledge of odorants used to assist with leak detection of hydrogen; Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen; Knowledge of hydrogen-related regulations, standards, and codes",Hydrogen End-Use Application,Hydrogen Heating Application
System Integration Technician,"Knowledge of the practices, technologies, equipment, and systems to control hydrogen corrosion or embrittlement",Hydrogen End-Use Application,Hydrogen Heating Application
Operation Technician,"Hydrogen properties, behaviour, and potential hazards created; Knowledge of hydrogen-related regulations, standards, and codes; Operating, monitoring, maintaining, and testing hydrogen-related equipment",Hydrogen End-Use Application,Hydrogen Heating Application
Renewable Energy Technician,"Welding procedures and techniques appropriate for hydrogen; Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen; Operating, monitoring, maintaining, and testing hydrogen-related equipment",Hydrogen End-Use Application,Hydrogen Heating Application
Welder,,Hydrogen End-Use Application,Hydrogen Heating Application
Assembly Technician,,Hydrogen End-Use Application,Hydrogen Heating Application
Manufacturing Production Technician,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen; Operating, monitoring, maintaining, and testing hydrogen-related equipment",Hydrogen End-Use Application,Hydrogen Heating Application
"Pipeline Technician: Electrical and Instrumentation, Mechanical","Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen; Knowledge of hydrogen-related regulations, standards, and codes",Hydrogen End-Use Application,Hydrogen Heating Application
Locomotive Electrician,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen",Hydrogen End-Use Application,Hydrogen Heating Application
Electrician,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen",Hydrogen End-Use Application,Hydrogen Heating Application
Drilling Crew,,Hydrogen End-Use Application,Hydrogen Heating Application
Reservoir Technoligist,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen",Hydrogen End-Use Application,Hydrogen Heating Application
Compression Station Operator,,Hydrogen End-Use Application,Hydrogen Heating Application
Control Room Operator,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen",Hydrogen End-Use Application,Hydrogen Heating Application
Well Completions Operator,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen; Knowledge of hydrogen-related regulations, standards, and codes",Hydrogen End-Use Application,Hydrogen Heating Application
Plant Operator,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen",Hydrogen End-Use Application,Hydrogen Heating Application
Utility Operator,"Understanding procedures to trace, locate, and repair hydrogen leaks ; Knowledge of odorants used to assist with leak detection of hydrogen; Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen; Knowledge of hydrogen-related regulations, standards, and codes",Hydrogen End-Use Application,Hydrogen Heating Application
Heavy-duty Mechanic (Duel Fuel),"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen; Knowledge of hydrogen-related regulations, standards, and codes",Hydrogen End-Use Application,Hydrogen Heating Application
Truck Driver,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen",Hydrogen End-Use Application,Hydrogen Heating Application
Gas Fitter,"Understanding aspects of installation and testing procedures that are different due to the nature of hydrogen; Knowledge of the materials, equipment, and components to use to withstand hydrogen pressure and temperatures; Welding procedures and techniques appropriate for hydrogen; Knowledge of the practices, technologies, equipment, and systems to control hydrogen corrosion or embrittlement; Understanding procedures to trace, locate, and repair hydrogen leaks ; Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen",Hydrogen End-Use Application,Hydrogen Heating Application
Fitter and Turner,"Knowledge of the practices, technologies, equipment, and systems to control hydrogen corrosion or embrittlement; Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen; Knowledge of hydrogen-related regulations, standards, and codes",Hydrogen End-Use Application,Hydrogen Heating Application
