,requirement_id,requirement,skill_id,skill
14,434,"Materials, coatings and inhibitors to use and correct application to protect from hydrogen corrosion",15,Knowledge of materials to protect from hydrogen corrosion
15,434,"Materials, coatings and inhibitors to use and correct application to protect from hydrogen corrosion",16,Knowledge of coatings for hydrogen corrosion protection
16,434,"Materials, coatings and inhibitors to use and correct application to protect from hydrogen corrosion",17,Knowledge of inhibitors for hydrogen corrosion protection
17,434,"Materials, coatings and inhibitors to use and correct application to protect from hydrogen corrosion",18,Correct application techniques for corrosion protection
18,19,"Knowledge and selection of type of materials, coatings and inhibitors to use to protect from hydrogen corrosion and embrittlement",19,Knowledge of materials to protect from hydrogen corrosion
19,19,"Knowledge and selection of type of materials, coatings and inhibitors to use to protect from hydrogen corrosion and embrittlement",20,Knowledge of coatings to protect from hydrogen corrosion and embrittlement
20,19,"Knowledge and selection of type of materials, coatings and inhibitors to use to protect from hydrogen corrosion and embrittlement",21,Knowledge of inhibitors to protect from hydrogen corrosion and embrittlement
21,19,"Knowledge and selection of materials, coatings, and inhibitors to prevent hydrogen embrittlement",22,Knowledge of embrittlement-specific protection strategies
22,21,Design and selection of compression systems for hydrogen pressure and temperatures associated with hydrogen fueling system,23,Design of compression systems for hydrogen pressure
23,21,Design and selection of compression systems for hydrogen pressure and temperatures associated with hydrogen fueling system,24,Selection of compression systems for hydrogen fueling
24,21,Design and selection of compression systems for hydrogen pressure and temperatures associated with hydrogen fueling system,25,Consideration of pressure requirements in hydrogen fueling systems
25,21,Design and selection of compression systems for hydrogen pressure and temperatures associated with hydrogen fueling system,26,Consideration of temperature requirements in hydrogen fueling systems
26,23,Appropriate selection and maintenance of stationary and rotating equipment and systems required for pipeline transmission of gaseous hydrogen,27,Appropriate selection of stationary equipment for hydrogen pipeline transmission
27,23,Appropriate selection and maintenance of stationary and rotating equipment and systems required for pipeline transmission of gaseous hydrogen,28,Appropriate selection of rotating equipment for hydrogen pipeline transmission
28,23,Appropriate selection and maintenance of stationary and rotating equipment and systems required for pipeline transmission of gaseous hydrogen,29,Maintenance of stationary equipment in hydrogen pipeline systems
29,23,Appropriate selection and maintenance of stationary and rotating equipment and systems required for pipeline transmission of gaseous hydrogen,30,Maintenance of rotating equipment in hydrogen pipeline systems
30,25,Hydrogen refueling,31,Knowledge of hydrogen refueling systems
31,25,Hydrogen refueling,32,Operation of hydrogen dispensing systems
32,25,Hydrogen refueling,33,Safety procedures during hydrogen refueling
33,25,Hydrogen refueling,34,Maintenance of hydrogen refueling equipment
34,26,Understanding of properties and characteristics of hydrogen in a gaseous state,35,Understanding the chemical properties of hydrogen in a gaseous state
35,26,Understanding of properties and characteristics of hydrogen in a gaseous state,36,Understanding the physical characteristics of gaseous hydrogen
36,26,Understanding of properties and characteristics of hydrogen in a gaseous state,37,Understanding the behavior of hydrogen in gaseous form
37,30,"Understanding of hydrogen technologies, and economic and social advantages and disadvantages",38,Understanding of hydrogen technologies
38,30,"Understanding of hydrogen technologies, and economic and social advantages and disadvantages",39,Understanding the economic advantages of hydrogen
39,30,"Understanding of hydrogen technologies, and economic and social advantages and disadvantages",40,Understanding the economic disadvantages of hydrogen
40,30,"Understanding of hydrogen technologies, and economic and social advantages and disadvantages",41,Understanding the social advantages of hydrogen
41,30,"Understanding of hydrogen technologies, and economic and social advantages and disadvantages",42,Understanding the social disadvantages of hydrogen
42,451,Understanding of combined-cycle power generation using hydrogen blending,43,Understanding of combined-cycle power generation
43,451,Understanding of combined-cycle power generation using hydrogen blending,44,Understanding of hydrogen blending in power generation
44,451,Understanding of combined-cycle power generation using hydrogen blending,45,Understanding the operational implications of hydrogen blending in combined-cycle power generation
45,451,Understanding of combined-cycle power generation using hydrogen blending,46,Understanding the environmental impacts of hydrogen blending in power generation
46,34,"Knowledge of appropriate materials, seals, coatings",47,Knowledge of appropriate materials for hydrogen systems
47,34,"Knowledge of appropriate materials, seals, coatings",48,Knowledge of appropriate seals for hydrogen systems
48,34,"Knowledge of appropriate materials, seals, coatings",49,Knowledge of appropriate coatings for hydrogen systems
49,39,"Appropriate selection and maintenance of pressure vessels, piping systems and fitting, valves and seals, coatings and insulation associated with hydrogen fueling system",50,Appropriate selection of pressure vessels for hydrogen fueling
50,39,"Appropriate selection and maintenance of pressure vessels, piping systems and fitting, valves and seals, coatings and insulation associated with hydrogen fueling system",51,Appropriate selection of piping systems and fittings for hydrogen fueling
51,39,Appropriate selection and maintenance of valves and seals for hydrogen fueling,52,Appropriate selection of valves and seals for hydrogen fueling systems
52,39,Appropriate selection and maintenance of coatings and insulation for hydrogen fueling systems,53,Appropriate selection of coatings and insulation for hydrogen fueling systems
53,39,"Appropriate selection and maintenance of pressure vessels, piping systems and fitting, valves and seals, coatings and insulation associated with hydrogen fueling system",54,Maintenance of pressure vessels in hydrogen fueling systems
54,39,"Appropriate selection and maintenance of pressure vessels, piping systems and fitting, valves and seals, coatings and insulation associated with hydrogen fueling system",55,"Maintenance of piping systems, valves, and fittings in hydrogen fueling systems"
55,39,Appropriate selection and maintenance of coatings and insulation in hydrogen fueling systems,56,Maintenance of coatings and insulation in hydrogen fueling systems
56,40,"Knowledge and selection of type of materials, coatings and inhibitors to use to protect from hydrogen corrosion",57,Knowledge of materials to protect from hydrogen corrosion
57,40,"Knowledge and selection of type of materials, coatings and inhibitors to use to protect from hydrogen corrosion",58,Knowledge of coatings to protect from hydrogen corrosion
58,40,"Knowledge and selection of type of materials, coatings and inhibitors to use to protect from hydrogen corrosion",59,Knowledge of inhibitors to protect from hydrogen corrosion
59,40,"Knowledge and selection of type of materials, coatings and inhibitors to use to protect from hydrogen corrosion",60,Correct application techniques for corrosion protection
60,42,Safety when working with or around hydrogen,61,Understanding general safety protocols for working with hydrogen
61,42,Safety when working with or around hydrogen,62,Understanding safety measures in hazardous areas involving hydrogen
62,42,Safety when working with or around hydrogen,63,Understanding personal protective equipment (PPE) requirements for hydrogen work
63,42,Safety when working with or around hydrogen,64,Understanding safety in handling and storage of hydrogen
64,43,Knowledge of electrolyzer hydrogen production plant control systems and advanced control systems for process optimisation,65,Knowledge of control systems in electrolyzer hydrogen production plants
65,43,Knowledge of electrolyzer hydrogen production plant control systems and advanced control systems for process optimisation,66,Knowledge of advanced control systems for process optimization
66,43,Knowledge of monitoring systems for electrolyzer hydrogen production,67,Knowledge of monitoring systems for electrolyzer hydrogen production plants
67,43,Knowledge of safety protocols in control systems for electrolyzer plants,68,Understanding of safety protocols in electrolyzer control systems
68,59,Knowledge of odorants used to assist with leak detection of hydrogen,69,Understanding the use of odorants for hydrogen leak detection
69,59,Knowledge of odorants used to assist with leak detection of hydrogen,70,Selection of appropriate odorants for hydrogen systems
70,59,Knowledge of safety implications of using odorants in hydrogen systems,71,Understanding safety considerations when using odorants in hydrogen systems
71,59,Knowledge of leak detection methods utilizing odorants,72,Understanding leak detection techniques involving odorants
72,50,Appropriate selection and maintenance of materials and equipment to withstand hydrogen pressure and temperatures,73,Appropriate selection of materials to withstand hydrogen pressure
73,50,Appropriate selection and maintenance of materials and equipment to withstand hydrogen pressure and temperatures,74,Appropriate selection of materials to withstand hydrogen temperatures
74,50,Appropriate selection and maintenance of equipment to withstand hydrogen pressure,75,Selection of equipment designed to withstand hydrogen pressure
75,50,Appropriate selection and maintenance of equipment to withstand hydrogen temperatures,76,Selection of equipment designed to withstand hydrogen temperatures
76,50,Maintenance of materials and equipment in hydrogen pressure systems,77,Maintenance of materials and equipment used in high-pressure hydrogen systems
77,50,Maintenance of materials and equipment in hydrogen temperature systems,78,Maintenance of materials and equipment used in high-temperature hydrogen systems
78,51,"Understanding of electrochemical reactions, processes and hydrogen production using PEM electrolyzers",79,Understanding electrochemical reactions in PEM electrolyzers
79,51,"Understanding of electrochemical reactions, processes and hydrogen production using PEM electrolyzers",80,Understanding the process of hydrogen production using PEM electrolyzers
80,51,Understanding the components involved in PEM electrolyzers,81,Knowledge of key components in PEM electrolyzers
81,51,Understanding process optimization in PEM electrolyzers,82,Understanding process optimization for hydrogen production in PEM electrolyzers
82,57,Understanding of properties and characteristics of hydrogen in a liquid and gaseous state,83,Understanding the properties and characteristics of hydrogen in a gaseous state
83,57,Understanding of properties and characteristics of hydrogen in a liquid and gaseous state,84,Understanding the properties and characteristics of hydrogen in a liquid state
84,57,Understanding the differences between gaseous and liquid hydrogen,85,Comparing the properties of gaseous vs. liquid hydrogen
85,57,Understanding the behavior of hydrogen in different states under various conditions,86,Understanding the behavior of hydrogen under different temperature and pressure conditions
86,70,Understanding of combined-cycle power generation using hydrogen-blending,87,Understanding of combined-cycle power generation
87,70,Understanding of combined-cycle power generation using hydrogen-blending,88,Understanding the principles of hydrogen-blending in power generation
88,70,Understanding the operational considerations of hydrogen-blending in combined-cycle power generation,89,Understanding operational adjustments needed for hydrogen-blending
89,70,Understanding the environmental impacts and compliance requirements of hydrogen-blending in power generation,90,Understanding the environmental and regulatory aspects of hydrogen-blending
90,429,Advanced knowledge of safety when working with or around hydrogen,91,Advanced understanding of general safety protocols for hydrogen
91,429,Advanced knowledge of safety when working with or around hydrogen,92,Advanced understanding of safety measures in hazardous hydrogen areas
92,429,Advanced knowledge of PPE requirements for hydrogen work,93,Advanced understanding of personal protective equipment (PPE) for hydrogen environments
93,429,Advanced knowledge of safety protocols in handling and storage of hydrogen,94,Advanced understanding of safety in handling and storage of hydrogen
94,78,Understanding of hydrogen compression processes,95,Understanding the principles of hydrogen compression
95,78,Understanding of different hydrogen compression technologies,96,Knowledge of various hydrogen compression technologies
96,78,Understanding the role of compression in hydrogen storage and transportation,97,Understanding the role of compression in hydrogen storage
97,78,Understanding the safety considerations in hydrogen compression,98,Knowledge of safety considerations in hydrogen compression processes
98,372,"Appropriate selection of materials, coatings, odorants, inhibitors, etc. for hydrogen blending",99,Selection of materials for hydrogen blending
99,372,Appropriate selection of coatings for hydrogen blending,100,Selection of coatings for hydrogen blending
100,372,Appropriate selection of odorants for hydrogen blending,101,Selection of odorants for hydrogen blending
101,372,Appropriate selection of inhibitors for hydrogen blending,102,Selection of inhibitors for hydrogen blending
102,83,Understanding materials behavior in high pressure hydrogen,103,Understanding how materials behave under high pressure hydrogen conditions
103,83,Understanding the impact of high pressure on material integrity,104,Understanding the impact of high pressure on material integrity
104,83,Understanding hydrogen embrittlement in high pressure environments,105,Understanding the risk of hydrogen embrittlement in high pressure environments
105,83,Understanding safety considerations in high pressure hydrogen environments,106,Understanding safety protocols related to material behavior in high pressure hydrogen environments
106,441,"Maintenance of ventilation, leak detection, flame detection, corrosion prevention equipment and systems for hydrogen blending",107,Maintenance of ventilation systems for hydrogen blending
107,441,Maintenance of leak detection systems for hydrogen blending,108,Maintenance of leak detection systems for hydrogen blending
108,441,Maintenance of flame detection systems for hydrogen blending,109,Maintenance of flame detection systems for hydrogen blending
109,441,Maintenance of corrosion prevention equipment and systems for hydrogen blending,110,Maintenance of corrosion prevention equipment and systems
110,85,Knowledge of fuel cell technology and hydro-electric power trains,111,Knowledge of fuel cell technology
111,85,Knowledge of different types of fuel cells,112,Knowledge of different types of fuel cells
112,85,Knowledge of fuel cell components and processes,113,Understanding of fuel cell components and processes
113,85,Knowledge of hydro-electric power trains,114,Understanding of hydro-electric power trains
114,87,"Appropriate selection, design and maintenance of electrolyzers, vessels, compressors, piping systems and fitting, valves and seals to withstand hydrogen pressure and temperatures",115,Appropriate selection and design of electrolyzers for hydrogen pressure and temperatures
115,87,"Appropriate selection, design and maintenance of electrolyzers, vessels, compressors, piping systems and fitting, valves and seals to withstand hydrogen pressure and temperatures",116,Appropriate selection and design of pressure vessels to withstand hydrogen pressure and temperatures
116,87,"Appropriate selection, design and maintenance of electrolyzers, vessels, compressors, piping systems and fitting, valves and seals to withstand hydrogen pressure and temperatures",117,Appropriate selection and design of compressors to withstand hydrogen pressure and temperatures
117,87,"Appropriate selection, design and maintenance of electrolyzers, vessels, compressors, piping systems and fitting, valves and seals to withstand hydrogen pressure and temperatures",118,Appropriate selection and design of piping systems and fittings to withstand hydrogen pressure and temperatures
118,87,"Appropriate selection, design and maintenance of electrolyzers, vessels, compressors, piping systems and fitting, valves and seals to withstand hydrogen pressure and temperatures",119,Appropriate selection and design of valves and seals to withstand hydrogen pressure and temperatures
119,87,"Appropriate selection, design and maintenance of electrolyzers, vessels, compressors, piping systems and fitting, valves and seals to withstand hydrogen pressure and temperatures",120,"Maintenance of electrolyzers, vessels, compressors, piping systems, valves, and seals to withstand hydrogen pressure and temperatures"
120,91,"Management, maintenance and continuous improvement of hydrogen fueling station and mobile systems",121,Management of hydrogen fueling stations
121,91,"Management, maintenance and continuous improvement of hydrogen fueling station and mobile systems",122,Maintenance of hydrogen fueling station equipment
122,91,"Management, maintenance and continuous improvement of hydrogen fueling station and mobile systems",123,Continuous improvement of hydrogen fueling station operations
123,91,"Management, maintenance and continuous improvement of hydrogen fueling station and mobile systems",124,Maintenance and management of mobile hydrogen fueling systems
124,388,Understanding of technical factors associated with using hydrogen blending for heating,125,Understanding the principles of hydrogen blending for heating
125,388,Understanding the impact of hydrogen blending on heating systems,126,Understanding the impact of hydrogen blending on heating systems
126,388,Understanding the safety considerations of using hydrogen blending for heating,127,Understanding safety considerations for hydrogen blending in heating systems
127,388,Understanding the efficiency and performance factors in hydrogen-blended heating,128,Understanding efficiency and performance factors when using hydrogen blending for heating
128,93,"Understanding of coatings effective for protecting equipment, piping, pipelines, etc. used for hydrogen against corrosion/embrittlement and their correct application",129,Understanding of coatings effective against hydrogen corrosion
129,93,"Understanding of coatings effective for protecting equipment, piping, pipelines, etc. used for hydrogen against corrosion/embrittlement and their correct application",130,Understanding of coatings effective against hydrogen embrittlement
130,93,Understanding the correct application of coatings for hydrogen environments,131,Knowledge of correct application techniques for protective coatings
131,93,Understanding the maintenance of coatings in hydrogen systems,132,Knowledge of maintaining coatings to ensure long-term protection
132,354,"Understanding of hydrogen technologies, costs, and carbon advantages and disadvantages in order to evaluate project opportunities and feasibility against commercial, technical and non-technical requirements",133,Understanding of hydrogen technologies
133,354,Understanding of hydrogen costs,134,Understanding the cost aspects of hydrogen technologies
134,354,Understanding carbon advantages and disadvantages of hydrogen,135,Understanding the carbon impact of hydrogen technologies
135,354,Evaluation of project opportunities and feasibility,136,"Evaluating project feasibility against commercial, technical, and non-technical requirements"
136,95,"Knowledge of codes, and industry standard processes as relates to hydrogen fueling station equipment",137,Knowledge of relevant codes for hydrogen fueling station equipment
137,95,Knowledge of industry standard processes for hydrogen fueling station equipment,138,Knowledge of industry standard processes for hydrogen fueling stations
138,96,"Knowledge of hydrogen production, distribution, and dispensing technology to meet the needs of different fleets",139,Knowledge of hydrogen production technology
139,96,Knowledge of hydrogen distribution technology,140,Knowledge of distribution systems for hydrogen
140,96,Knowledge of hydrogen dispensing technology,141,Knowledge of hydrogen dispensing systems
141,96,Matching technology with fleet requirements,142,Understanding how to match hydrogen technology with the needs of different fleets
142,98,"Process engineering and controls skills specific to hydrogen including hazard risk analysis and reviews, mechanical integrity and instrumented system analysis, and operation readiness inspection",143,Process engineering skills specific to hydrogen
143,98,Hazard risk analysis and reviews in hydrogen processes,144,Conducting hazard risk analysis and reviews
144,98,Mechanical integrity analysis in hydrogen systems,145,Mechanical integrity analysis for hydrogen systems
145,98,Instrumented system analysis in hydrogen processes,146,Instrumented system analysis for hydrogen processes
146,98,Operation readiness inspection for hydrogen systems,147,Conducting operation readiness inspections
147,447,"Knowledge of equipment and components including compression, turbines and combustion, etc. for hydrogen blending",148,Knowledge of compression equipment for hydrogen blending
148,447,Knowledge of turbines for hydrogen blending,149,Knowledge of turbine systems used in hydrogen blending
149,447,Knowledge of combustion systems for hydrogen blending,150,Knowledge of combustion systems in hydrogen blending
150,447,Knowledge of additional equipment and components for hydrogen blending,151,Understanding of other relevant equipment for hydrogen blending
151,104,"Assess integrity of vessels, tanks, piping systems and fitting, valves and seals to withstand hydrogen pressure and temperatures",152,Assess integrity of vessels and tanks for hydrogen pressure and temperatures
152,104,Assess integrity of piping systems and fittings for hydrogen pressure and temperatures,153,Assess integrity of piping systems and fittings
153,104,Assess integrity of valves and seals for hydrogen pressure and temperatures,154,Assess integrity of valves and seals
154,104,Assess overall mechanical integrity for hydrogen systems,155,Conducting comprehensive integrity assessments
155,402,"Maintenance of vessels, compressors, turbines, piping systems and fitting, valves etc. to withstand hydrogen pressure and temperatures",156,Maintenance of vessels for hydrogen pressure and temperatures
156,402,Maintenance of compressors for hydrogen pressure and temperatures,157,Maintenance of compressors for hydrogen systems
157,402,Maintenance of turbines for hydrogen pressure and temperatures,158,Maintenance of turbines in hydrogen systems
158,402,"Maintenance of piping systems, fittings, valves, and seals for hydrogen pressure and temperatures",159,"Maintenance of piping systems, fittings, valves, and seals"
159,404,"Advanced knowledge of hydrogen properties, behaviour and potential hazards created",160,Advanced knowledge of hydrogen chemical and physical properties
160,404,Advanced understanding of hydrogen behavior under various conditions,161,Advanced understanding of hydrogen behavior
161,404,Advanced knowledge of potential hazards associated with hydrogen,162,Advanced understanding of potential hazards created by hydrogen
162,112,Develop and present business case for hydrogen,163,Develop a business case for hydrogen projects
163,112,Present the business case for hydrogen to stakeholders,164,Presenting business cases to relevant stakeholders
164,118,"Knowledge of hydrogen-related regulations, standards and codes",165,Understanding of hydrogen-related regulations
165,118,Knowledge of hydrogen industry standards,166,Understanding industry standards for hydrogen
166,118,Knowledge of hydrogen-related codes,167,Understanding of codes related to hydrogen systems
167,120,"Knowledge of appropriate materials, seals, coatings to use with hydrogen blending",168,Knowledge of appropriate materials for hydrogen blending
168,120,Knowledge of appropriate seals for hydrogen blending,169,Knowledge of seals compatible with hydrogen blending
169,120,Knowledge of appropriate coatings for hydrogen blending,170,Knowledge of coatings effective for hydrogen blending
170,419,"Appropriate selection, design, modification to ventilation, leak detection, flame detection, corrosion prevention equipment and systems for hydrogen blending",171,Appropriate selection and design of ventilation systems for hydrogen blending
171,419,Appropriate selection and design of leak detection systems for hydrogen blending,172,Appropriate selection and design of leak detection systems
172,419,Appropriate selection and design of flame detection systems for hydrogen blending,173,Appropriate selection and design of flame detection systems
173,419,Appropriate selection and design of corrosion prevention systems for hydrogen blending,174,Selection and modification of corrosion prevention systems
174,125,Knowledge of hydrogen technologies and value proposition as it relates to ESG factors and how to measure them,175,Understanding the value proposition of hydrogen technologies related to ESG factors
175,125,Measuring the impact of hydrogen technologies on environmental factors,176,Measuring environmental impacts of hydrogen technologies
176,125,Measuring the impact of hydrogen technologies on social and governance factors,177,Measuring social and governance impacts of hydrogen technologies
177,127,Appropriate selection and maintenance of electrical equipment and instrumentation systems required for pipeline transmission of gaseous hydrogen,178,Appropriate selection of electrical equipment for pipeline transmission of gaseous hydrogen
178,127,Appropriate selection of instrumentation systems for hydrogen pipelines,179,Selection of instrumentation systems for hydrogen pipelines
179,127,Maintenance of electrical equipment for hydrogen pipelines,180,Maintenance of electrical equipment for hydrogen transmission
180,127,Maintenance of instrumentation systems for hydrogen pipelines,181,Maintenance of instrumentation systems for hydrogen transmission
181,130,"Advanced knowledge of current and evolving regulatory systems, standards and policy related to hydrogen",182,Advanced knowledge of current hydrogen regulatory systems
182,130,Advanced knowledge of evolving hydrogen standards,183,Advanced knowledge of evolving standards in hydrogen industry
183,130,Advanced knowledge of hydrogen-related policy developments,184,Advanced understanding of policy developments in hydrogen
184,139,"As use of FCEV for delivering hydrogen fuel increases, drivers will also need to have knowledge of fuel cell technology, ability to inspect vehicle and conduct basic maintenance and hydrogen refueling",185,Knowledge of fuel cell technology for FCEV drivers
185,139,Ability to inspect FCEV vehicles,186,Ability to inspect FCEV vehicles
186,139,Ability to conduct basic maintenance on FCEV vehicles,187,Conducting basic maintenance on FCEVs
187,139,Ability to conduct hydrogen refueling of FCEV vehicles,188,Conducting hydrogen refueling for FCEVs
188,149,"Understanding of relevant hydrogen regulations, codes and standards",189,Understanding of relevant hydrogen regulations
189,149,Understanding of relevant hydrogen industry standards,190,Understanding of industry standards for hydrogen
190,149,Understanding of hydrogen-related codes,191,Knowledge of relevant codes applicable to hydrogen
191,150,Understanding of hydrogen production process using PEM electrolyzers,192,Understanding the hydrogen production process using PEM electrolyzers
192,150,Understanding of components involved in PEM electrolyzers,193,Knowledge of key components in PEM electrolyzers
193,150,Understanding process optimization in PEM electrolyzers,194,Knowledge of process optimization techniques in PEM electrolyzers
194,153,"Knowledge of fuel cell technology, ability to inspect vehicle and conduct basic maintenance",195,Knowledge of fuel cell technology
195,153,Ability to inspect fuel cell vehicles,196,Ability to inspect fuel cell vehicles
196,153,Ability to conduct basic maintenance on fuel cell vehicles,197,Conducting basic maintenance on fuel cell vehicles
197,416,Produce techno-economic analysis reports,198,Conduct techno-economic analysis
198,416,Compile and present techno-economic analysis reports,199,Compile and present reports based on techno-economic analysis
199,158,Appropriate selection and maintenance of key electrical and electronic equipment and systems associated with power generation using hydrogen blending,200,Selection of key electrical equipment for power generation using hydrogen blending
200,158,Selection of key electronic systems for power generation using hydrogen blending,201,Selection of electronic systems for hydrogen blending power generation
201,158,Maintenance of electrical equipment in hydrogen blending power generation,202,Maintenance of electrical equipment for hydrogen blending power generation
202,158,Maintenance of electronic systems in hydrogen blending power generation,203,Maintenance of electronic systems in hydrogen blending power generation
203,159,Knowledge of hydrogen gas value-chains,204,Understanding the hydrogen gas production value chain
204,159,Understanding the hydrogen gas distribution value chain,205,Understanding the hydrogen distribution value chain
205,159,Understanding the hydrogen gas storage value chain,206,Understanding the hydrogen storage value chain
206,159,Understanding the end-use applications in the hydrogen value chain,207,Knowledge of end-use applications within the hydrogen value chain
207,163,Knowledge of fueling standards for third-party certification of hydrogen product lines,208,Understanding fueling standards for hydrogen products
208,163,Knowledge of third-party certification requirements for hydrogen product lines,209,Knowledge of certification requirements for hydrogen products
209,165,"Hydrogen properties, behaviour and potential hazards created",210,Understanding hydrogen properties
210,165,Understanding hydrogen behavior under various conditions,211,Understanding the behavior of hydrogen
211,165,Understanding potential hazards associated with hydrogen,212,Knowledge of potential hazards created by hydrogen
212,167,"Design and selection of pressure vessels, piping systems and fitting, valves and seals, coatings and insulation to withstand hydrogen pressure and temperatures",213,Design and selection of pressure vessels for hydrogen systems
213,167,Design and selection of piping systems and fittings for hydrogen systems,214,Design and selection of piping systems and fittings
214,167,Design and selection of valves and seals for hydrogen systems,215,Design and selection of valves and seals
215,167,Design and selection of coatings for hydrogen systems,216,Design and selection of coatings for protection against hydrogen
216,167,Design and selection of insulation for hydrogen systems,217,Design and selection of insulation to withstand hydrogen conditions
217,236,Assess strength and integrity of welds to withstand hydrogen pressure and temperatures,218,Assess strength of welds in hydrogen systems
218,236,Assess integrity of welds under hydrogen pressure,219,Assess integrity of welds under hydrogen pressure
219,236,Assess integrity of welds under hydrogen temperatures,220,Assess integrity of welds under hydrogen temperature conditions
220,315,Comprehensive understanding of aspects of installation and testing procedures that are different due to the nature of hydrogen,221,Understanding of installation procedures unique to hydrogen
221,315,Understanding of testing procedures unique to hydrogen systems,222,Comprehensive understanding of testing procedures due to hydrogen's nature
222,175,"Appropriate selection, design and maintenance of related production equipment, materials, coatings, etc.",223,Selection and design of production equipment for hydrogen systems
223,175,Selection and design of materials for hydrogen production systems,224,Selection of materials for hydrogen production systems
224,175,Selection and design of coatings for hydrogen production systems,225,Selection of protective coatings for hydrogen production
225,175,Maintenance of production equipment and materials in hydrogen systems,226,Maintenance of production equipment and materials
226,178,Appropriate selection and maintenance of key electrical and electronic equipment and systems associated with an electrolyzer hydrogen production plant,227,Selection of key electrical equipment for an electrolyzer hydrogen production plant
227,178,Selection of key electronic systems for an electrolyzer hydrogen production plant,228,Selection of electronic systems for electrolyzer hydrogen production
228,178,Maintenance of electrical equipment in an electrolyzer hydrogen production plant,229,Maintenance of electrical equipment in electrolyzer plants
229,178,Maintenance of electronic systems in an electrolyzer hydrogen production plant,230,Maintenance of electronic systems in electrolyzer plants
230,180,EMC/EMI compliance and standards,231,Understanding of EMC/EMI compliance requirements
231,180,Knowledge of EMC/EMI standards relevant to hydrogen systems,232,Knowledge of standards for EMC/EMI in hydrogen systems
232,181,"Experience with Codes, Standards and compliance issues of electrical systems in road vehicles",233,Experience with codes related to electrical systems in road vehicles
233,181,Experience with standards for electrical systems in road vehicles,234,Experience with standards for electrical systems in road vehicles
234,181,Experience with compliance issues for electrical systems in road vehicles,235,Handling compliance issues in electrical systems for road vehicles
235,182,"Keep up-to-date with changes to hydrogen technology, regulations, standards and codes",236,Staying current with advances in hydrogen technology
236,182,Staying informed on changes to hydrogen regulations,237,Keeping up-to-date with changes in hydrogen regulations
237,182,Staying informed on changes to hydrogen standards,238,Keeping up-to-date with changes in hydrogen standards
238,182,Staying informed on changes to hydrogen codes,239,Keeping up-to-date with changes in hydrogen codes
239,190,Knowledge of high power electrical equipment associated with power generation using hydrogen blending,240,Understanding of high-power electrical equipment for hydrogen blending power generation
240,190,Understanding of the role of transformers in hydrogen blending power generation,241,Knowledge of transformers used in hydrogen blending
241,190,Understanding of the role of substations in hydrogen blending power generation,242,Knowledge of substations in hydrogen blending power generation
242,190,Understanding of the role of capacitors in hydrogen blending power generation,243,Knowledge of capacitors used in hydrogen blending
243,247,Welding procedures and techniques appropriate for hydrogen,244,Understanding welding procedures for hydrogen systems
244,247,Techniques for welding in hydrogen environments,245,Techniques for welding in hydrogen environments
245,247,Ensuring weld quality and safety in hydrogen systems,246,Ensuring quality and safety of welds in hydrogen systems
246,193,"Knowledge of appropriate maintenance of hydrogen fueling systems including pressure vessels, vaporizers, flow, level and pressure control instrumentation, dispensers, pumps, PLC, and compressors, Human Machine Interface (HMI) and controls software",247,Maintenance of pressure vessels in hydrogen fueling systems
247,193,Maintenance of vaporizers in hydrogen fueling systems,248,Maintenance of vaporizers in hydrogen fueling systems
