,occupation_id,core_occupation,value_chain,technology
119,120,Production engineer,Upgrading,Ammonia
120,121,Control room operator,Upgrading,Ammonia
121,122,Lab technician,Upgrading,Ammonia
122,123,Maintenance planner,Upgrading,Ammonia
123,124,Maintenance trade - Instrumentation technician,Upgrading,Ammonia
124,125,Maintenance trade - Mechanical,Upgrading,Ammonia
125,126,Plant manager,Upgrading,Ammonia
126,127,Plant operator,Upgrading,Ammonia
127,128,Dual fuel heavy duty mechanic,End Use,Transport
128,129,Transit operator,End Use,Transport
129,130,Fleet manager,End Use,Transport
130,131,Fuel cell electric vehicle (FCEV) technician,End Use,Transport
131,132,Locomotive engineer,End Use,Transport
132,133,Locomotive mechanic (shop and field),End Use,Transport
133,134,Transportation solutions advisor,End Use,Transport
134,135,"Truck drivers - Class 1 & 3 Transport, freight, delivery/courier",End Use,Transport
135,136,Automation & controls specialist,End Use,Fueling Station
136,137,Mechanical engineer - Compression,End Use,Fueling Station
137,138,Mechanical engineer - Equipment & piping,End Use,Fueling Station
138,139,Mechanical engineer - Reliability,End Use,Fueling Station
139,140,Process control engineer,End Use,Fueling Station
140,141,Process engineer,End Use,Fueling Station
141,142,Process safety engineer,End Use,Fueling Station
142,143,Product engineer,End Use,Fueling Station
143,144,Quality engineer,End Use,Fueling Station
144,145,Fueling station technician,End Use,Fueling Station
145,146,Logistics coordinator,End Use,Fueling Station
146,147,Maintenance technician - Compression,End Use,Fueling Station
147,148,Maintenance technician - Electrical & mechanical,End Use,Fueling Station
148,149,Truck Driver - Hydrogen fuel delivery,End Use,Fueling Station
149,150,Asset performance manager,End Use,Heating
150,151,Gas fuser,End Use,Heating
151,152,"HVAC technician (also known as: Refrigeration and Air Conditioning Mechanic, HVAC-R technician)",End Use,Heating
152,153,Utility inspector,End Use,Power Generation
153,154,Utility operator,End Use,Power Generation
154,155,Utility services planner,End Use,Power Generation
155,156,Utility services technician,End Use,Power Generation
156,157,Welding engineer,End Use,Power Generation
157,158,Automation & controls specialist,End Use,Power Generation
158,159,Electrical engineer,End Use,Power Generation
159,160,Electrical & instrumentation engineer,End Use,Power Generation
160,161,Facility engineer,End Use,Power Generation
161,162,Hydrogen integration specialist,End Use,Power Generation
162,163,Mechanical engineer - Equipment & piping,End Use,Power Generation
163,164,Mechanical engineer - Reliability,End Use,Power Generation
164,165,Process control engineer,End Use,Power Generation
165,166,Process engineer,End Use,Power Generation
166,167,Process safety engineer,End Use,Power Generation
167,168,Control room operator,End Use,Power Generation
168,169,Maintenance planner,End Use,Power Generation
169,170,Maintenance trade - Electrical,End Use,Power Generation
170,171,Maintenance trade - Instrumentation & controls,End Use,Power Generation
171,172,Maintenance trade - Mechanical,End Use,Power Generation
172,173,Plant operator,End Use,Power Generation
173,174,Power scheduler,End Use,Power Generation
174,175,Applications engineer,Manufacturing,Manufacturing
175,176,Assembly technician (also known as: Production worker),Manufacturing,Manufacturing
176,177,Compliance specialist (also known as: Controls specialist),Manufacturing,Manufacturing
177,178,"CNC fabrication technician (also known as: CNC operator, CNC programmer, Manufacturing technician)",Manufacturing,Manufacturing
178,179,Design engineer - Electrical & instrumentation,Manufacturing,Manufacturing
179,180,Design engineer- Mechanical,Manufacturing,Manufacturing
180,181,Design - Mechatronics,Manufacturing,Manufacturing
181,182,"Manufacturing engineer (also known as: Manufacturing design engineer, Manufacturing process engineer, Tooling engineer)",Manufacturing,Manufacturing
182,183,Materials specialist,Manufacturing,Manufacturing
183,184,Pipefitters/Steamfitters,Manufacturing,Manufacturing
184,185,Production scheduler,Manufacturing,Manufacturing
185,186,Quality control specialist,Manufacturing,Manufacturing
186,187,Service technician,Manufacturing,Manufacturing
187,188,Sourcing specialist,Manufacturing,Manufacturing
188,189,Test technician,Manufacturing,Manufacturing
189,190,Test validation engineer,Manufacturing,Manufacturing
190,191,Welder,Manufacturing,Manufacturing
191,192,Facility maintenance planner,Manufacturing,Manufacturing
192,193,Maintenance trades - Electrical,Manufacturing,Manufacturing
193,194,Maintenance trade - Electromechanical,Manufacturing,Manufacturing
194,195,Maintenance trade - Instrumentation & controls (also known as: Automation technician),Manufacturing,Manufacturing
195,196,Maintenance trade - Mechanical,Manufacturing,Manufacturing
196,197,Mechatronics engineer - Facility,Manufacturing,Manufacturing
197,198,Business & commercial development specialist,Cross Value Chain,Various
198,199,Cybersecurity specialist,Cross Value Chain,Various
199,200,Data engineer,Cross Value Chain,Various
200,201,Data scientist,Cross Value Chain,Various
201,202,Software developer,Cross Value Chain,Various
202,203,Systems integration specialist,Cross Value Chain,Various
203,204,Environmental specialist,Cross Value Chain,Various
204,205,"Environment, Social, Governance (ESG) analyst",Cross Value Chain,Various
205,206,Health & safety advisor,Cross Value Chain,Various
206,207,Indigenous relations specialist,Cross Value Chain,Various
207,208,Regulatory analyst and compliance specialist,Cross Value Chain,Various
208,209,Stakeholder engagement and communications specialist,Cross Value Chain,Various
209,210,Sustainability specialist,Cross Value Chain,Various
210,211,Cathodic protection technician,Cross Value Chain,Various
211,212,Coating inspector,Cross Value Chain,Various
212,213,Construction inspector,Cross Value Chain,Various
213,214,Safety codes inspector (also known as: Safety codes officer),Cross Value Chain,Various
214,215,Welding inspector,Cross Value Chain,Various
