Unnamed: 0,occupation_id,core_occupation,value_chain,technology,Category
48,49,Maintenance planner,Production,CCS,Other
49,50,Maintenance trade - Electrical,Production,CCS,Other
50,51,Electrical & instrumentation engineer,Production,CCS,Engineer
51,52,Maintenance trade - Instrumentation & controls,Production,CCS,Other
52,53,Maintenance trade - Mechanical,Production,CCS,Mechanic
53,54,Plant manager,Production,CCS,Manager
54,55,Plant operator,Production,CCS,Operator
55,56,Automation & controls specialist,Production,CCS,Specialist
56,57,Compression specialist,Production,CCS,Specialist
57,58,Corrosion specialist,Production,CCS,Specialist
58,59,Measurement specialist,Production,CCS,Specialist
59,60,Pipeline engineer,Production,CCS,Engineer
60,61,Pipeline integrity specialist,Production,CCS,Specialist
61,62,Process safety engineer,Production,CCS,Engineer
62,63,Control centre operator,Production,CCS,Operator
63,64,Pipeline technician - Electrical & Instrumentation,Production,CCS,Technician
64,65,Pipeline technician - Mechanical,Production,CCS,Technician
65,66,Station operator- Compression,Production,CCS,Operator
66,67,Station operator - Pump,Production,CCS,Operator
67,68,Drilling & completion engineer,Production,CCS,Engineer
68,69,Reservoir engineer,Production,CCS,Engineer
69,70,Geologist Geophysicist,Production,CCS,Other
70,71,Drilling crew,Production,CCS,Other
71,72,Heavy duty mechanic,Production,CCS,Mechanic
72,73,Reservoir technologist,Production,CCS,Technologist
73,74,Service rig crew,Production,CCS,Other
74,75,Well completions operator,Production,CCS,Operator
75,76,Well completions supervisor,Production,CCS,Other
76,77,Reservoir engineer,Production,CCS,Engineer
77,78,Geologist Geophysicist,Production,CCS,Other
78,79,Instrumentation technician,Production,CCS,Technician
79,80,"Technologist Diploma: Chemical, Petroleum Engineering",Production,CCS,Engineer
80,81,Sampling and analysis technician,Production,CCS,Technician
81,82,Seismic crew,Production,CCS,Other
82,83,Cavern engineer,Storage,Underground,Engineer
83,84,Geologist Geophysicist Geotechnical specialist,Storage,Underground,Specialist
84,85,Heavy duty mechanic,Storage,Underground,Mechanic
85,86,Reservoir technologist,Storage,Underground,Technologist
86,87,Service rig crew,Storage,Underground,Other
87,88,Well completions operators,Storage,Underground,Operator
88,89,Well completions supervisor,Storage,Underground,Other
89,90,Control centre operator,Storage,Underground,Operator
90,91,Maintenance trade - Electrical & Instrumentation,Storage,Underground,Other
91,92,Maintenance trade - Mechanical,Storage,Underground,Mechanic
92,93,Measurement specialist,Storage,Underground,Specialist
93,94,Automation & controls specialist,Transport,Pipeline,Specialist
94,95,Compression specialist,Transport,Pipeline,Specialist
95,96,Corrosion specialist,Transport,Pipeline,Specialist
96,97,Electrical & instrumentation engineer,Transport,Pipeline,Engineer
97,98,Measurement specialist,Transport,Pipeline,Specialist
98,99,Pipeline engineer,Transport,Pipeline,Engineer
99,100,Pipeline integrity specialist,Transport,Pipeline,Specialist
100,101,Process safety engineer,Transport,Pipeline,Engineer
101,102,Control centre operator,Transport,Pipeline,Operator
102,103,Pipeline scheduler,Transport,Pipeline,Other
103,104,Maintenance trade - Electrical,Upgrading,Ammonia,Other
104,105,Pipeline technician- Electrical & instrumentation,Transport,Pipeline,Technician
105,106,Pipeline technician - Mechanical,Transport,Pipeline,Technician
106,107,Station operator - Compression,Transport,Pipeline,Operator
107,108,Cylinder technician,Transport,Truck,Technician
108,109,Logistics coordinator,Transport,Truck,Other
109,110,Tank tester/inspector,Transport,Truck,Inspector
110,111,Truck driver - Hydrogen delivery,Transport,Truck,Other
111,112,Automation & controls specialist,Upgrading,Ammonia,Specialist
112,113,Facility engineer,Upgrading,Ammonia,Engineer
113,114,Measurement specialist,Upgrading,Ammonia,Specialist
114,115,Mechanical engineer - Equipment & piping,Upgrading,Ammonia,Engineer
115,116,Mechanical engineer - Reliability,Upgrading,Ammonia,Engineer
116,117,Process control engineer,Upgrading,Ammonia,Engineer
117,118,Process engineer,Upgrading,Ammonia,Engineer
118,119,Process safety engineer,Upgrading,Ammonia,Engineer
119,120,Production engineer,Upgrading,Ammonia,Engineer
120,121,Control room operator,Upgrading,Ammonia,Operator
121,122,Lab technician,Upgrading,Ammonia,Technician
122,123,Maintenance planner,Upgrading,Ammonia,Other
123,124,Maintenance trade - Instrumentation technician,Upgrading,Ammonia,Technician
124,125,Maintenance trade - Mechanical,Upgrading,Ammonia,Mechanic
125,126,Plant manager,Upgrading,Ammonia,Manager
126,127,Plant operator,Upgrading,Ammonia,Operator
127,128,Dual fuel heavy duty mechanic,End Use,Transport,Mechanic
128,129,Transit operator,End Use,Transport,Operator
129,130,Fleet manager,End Use,Transport,Manager
130,131,Fuel cell electric vehicle (FCEV) technician,End Use,Transport,Technician
131,132,Locomotive engineer,End Use,Transport,Engineer
132,133,Locomotive mechanic (shop and field),End Use,Transport,Mechanic
133,134,Transportation solutions advisor,End Use,Transport,Other
134,135,"Truck drivers - Class 1 & 3 Transport, freight, delivery/courier",End Use,Transport,Other
135,136,Automation & controls specialist,End Use,Fueling Station,Specialist
136,137,Mechanical engineer - Compression,End Use,Fueling Station,Engineer
137,138,Mechanical engineer - Equipment & piping,End Use,Fueling Station,Engineer
138,139,Mechanical engineer - Reliability,End Use,Fueling Station,Engineer
139,140,Process control engineer,End Use,Fueling Station,Engineer
140,141,Process engineer,End Use,Fueling Station,Engineer
141,142,Process safety engineer,End Use,Fueling Station,Engineer
142,143,Product engineer,End Use,Fueling Station,Engineer
143,144,Quality engineer,End Use,Fueling Station,Engineer
144,145,Fueling station technician,End Use,Fueling Station,Technician
145,146,Logistics coordinator,End Use,Fueling Station,Other
146,147,Maintenance technician - Compression,End Use,Fueling Station,Technician
147,148,Maintenance technician - Electrical & mechanical,End Use,Fueling Station,Technician
148,149,Truck Driver - Hydrogen fuel delivery,End Use,Fueling Station,Other
149,150,Asset performance manager,End Use,Heating,Manager
150,151,Gas fuser,End Use,Heating,Other
151,152,"HVAC technician (also known as: Refrigeration and Air Conditioning Mechanic, HVAC-R technician)",End Use,Heating,Technician
152,153,Utility inspector,End Use,Power Generation,Inspector
153,154,Utility operator,End Use,Power Generation,Operator
154,155,Utility services planner,End Use,Power Generation,Other
155,156,Utility services technician,End Use,Power Generation,Technician
156,157,Welding engineer,End Use,Power Generation,Engineer
157,158,Automation & controls specialist,End Use,Power Generation,Specialist
158,159,Electrical engineer,End Use,Power Generation,Engineer
159,160,Electrical & instrumentation engineer,End Use,Power Generation,Engineer
160,161,Facility engineer,End Use,Power Generation,Engineer
161,162,Hydrogen integration specialist,End Use,Power Generation,Specialist
162,163,Mechanical engineer - Equipment & piping,End Use,Power Generation,Engineer
163,164,Mechanical engineer - Reliability,End Use,Power Generation,Engineer
164,165,Process control engineer,End Use,Power Generation,Engineer
165,166,Process engineer,End Use,Power Generation,Engineer
166,167,Process safety engineer,End Use,Power Generation,Engineer
167,168,Control room operator,End Use,Power Generation,Operator
168,169,Maintenance planner,End Use,Power Generation,Other
169,170,Maintenance trade - Electrical,End Use,Power Generation,Other
170,171,Maintenance trade - Instrumentation & controls,End Use,Power Generation,Other
171,172,Maintenance trade - Mechanical,End Use,Power Generation,Mechanic
172,173,Plant operator,End Use,Power Generation,Operator
173,174,Power scheduler,End Use,Power Generation,Other
174,175,Applications engineer,Manufacturing,Manufacturing,Engineer
175,176,Assembly technician (also known as: Production worker),Manufacturing,Manufacturing,Technician
176,177,Compliance specialist (also known as: Controls specialist),Manufacturing,Manufacturing,Specialist
177,178,"CNC fabrication technician (also known as: CNC operator, CNC programmer, Manufacturing technician)",Manufacturing,Manufacturing,Technician
178,179,Design engineer - Electrical & instrumentation,Manufacturing,Manufacturing,Engineer
179,180,Design engineer- Mechanical,Manufacturing,Manufacturing,Engineer
180,181,Design - Mechatronics,Manufacturing,Manufacturing,Other
181,182,"Manufacturing engineer (also known as: Manufacturing design engineer, Manufacturing process engineer, Tooling engineer)",Manufacturing,Manufacturing,Engineer
182,183,Materials specialist,Manufacturing,Manufacturing,Specialist
183,184,Pipefitters/Steamfitters,Manufacturing,Manufacturing,Other
184,185,Production scheduler,Manufacturing,Manufacturing,Other
185,186,Quality control specialist,Manufacturing,Manufacturing,Specialist
186,187,Service technician,Manufacturing,Manufacturing,Technician
187,188,Sourcing specialist,Manufacturing,Manufacturing,Specialist
188,189,Test technician,Manufacturing,Manufacturing,Technician
189,190,Test validation engineer,Manufacturing,Manufacturing,Engineer
190,191,Welder,Manufacturing,Manufacturing,Other
191,192,Facility maintenance planner,Manufacturing,Manufacturing,Other
192,193,Maintenance trades - Electrical,Manufacturing,Manufacturing,Other
193,194,Maintenance trade - Electromechanical,Manufacturing,Manufacturing,Mechanic
194,195,Maintenance trade - Instrumentation & controls (also known as: Automation technician),Manufacturing,Manufacturing,Technician
195,196,Maintenance trade - Mechanical,Manufacturing,Manufacturing,Mechanic
196,197,Mechatronics engineer - Facility,Manufacturing,Manufacturing,Engineer
197,198,Business & commercial development specialist,Cross Value Chain,Various,Specialist
198,199,Cybersecurity specialist,Cross Value Chain,Various,Specialist
199,200,Data engineer,Cross Value Chain,Various,Engineer
200,201,Data scientist,Cross Value Chain,Various,Other
201,202,Software developer,Cross Value Chain,Various,Other
202,203,Systems integration specialist,Cross Value Chain,Various,Specialist
203,204,Environmental specialist,Cross Value Chain,Various,Specialist
204,205,"Environment, Social, Governance (ESG) analyst",Cross Value Chain,Various,Other
205,206,Health & safety advisor,Cross Value Chain,Various,Other
206,207,Indigenous relations specialist,Cross Value Chain,Various,Specialist
207,208,Regulatory analyst and compliance specialist,Cross Value Chain,Various,Specialist
208,209,Stakeholder engagement and communications specialist,Cross Value Chain,Various,Specialist
209,210,Sustainability specialist,Cross Value Chain,Various,Specialist
210,211,Cathodic protection technician,Cross Value Chain,Various,Technician
211,212,Coating inspector,Cross Value Chain,Various,Inspector
212,213,Construction inspector,Cross Value Chain,Various,Inspector
213,214,Safety codes inspector (also known as: Safety codes officer),Cross Value Chain,Various,Inspector
214,215,Welding inspector,Cross Value Chain,Various,Inspector
