requirement_id,requirement,occupation_id,core_occupation,value_chain,technology,qualifications
25,Hydrogen refueling,145,Transit operator,End Use,Transport,• Class 2 or 4 Driver’s license • Class C or F (ON) • Valid air brake endorsement • Clean abstract
26,Understanding of properties and characteristics of hydrogen in a gaseous state,96,Reservoir technologist,Storage,Underground,"Technologist Diploma: Chemical, Petroleum Engineering"
26,Understanding of properties and characteristics of hydrogen in a gaseous state,93,Geologist Geophysicist Geotechnical specialist,Storage,Underground,Bachelor's of Science Degree: Geology or Geophysics
26,Understanding of properties and characteristics of hydrogen in a gaseous state,111,Pipeline scheduler,Transport,Pipeline,"Post-secondary training in business, commerce or or related discipline"
26,Understanding of properties and characteristics of hydrogen in a gaseous state,108,Pipeline integrity specialist,Transport,Pipeline,"Bachelor's Degree: Chemical, Materials, Metallurgical or Mechanical Engineering National Association of Corrosion Engineers (NACE) certification"
26,Understanding of properties and characteristics of hydrogen in a gaseous state,99,Well completions supervisor,Storage,Underground,Experienced well completions operator Valid Class 1 or Class 3 Driver's licence and clean driver's abstract
26,Understanding of properties and characteristics of hydrogen in a gaseous state,98,Well completions operators,Storage,Underground,Valid Class 1 or Class 3 Driver's licence and clean driver's abstract • Legally eligible to work in Canada • Physically fit • Ability to work safely and plan ahead • Mechanical aptitude • Oilfield safety certifications Comfortable driving off- highway/off-road
26,Understanding of properties and characteristics of hydrogen in a gaseous state,107,Pipeline engineer,Transport,Pipeline,"Bachelor's Degree: Chemical, Civil or Mechanical Engineering"
26,Understanding of properties and characteristics of hydrogen in a gaseous state,38,Control centre operator,Storage,Underground,"Technology certification in Chemical Engineering, Power Engineering, or Petrochemical Engineering Technology"
26,Understanding of properties and characteristics of hydrogen in a gaseous state,110,Control centre operator,Transport,Pipeline,"Technology certification in Chemical Engineering, Power Engineering, or Petrochemical Engineering Technology"
26,Understanding of properties and characteristics of hydrogen in a gaseous state,97,Service rig crew,Storage,Underground,"Leasehand is the entry level position on a service rig crew. Requirements include: • Legally eligible to work in Canada • At least 18 years of age • Possess a valid driver's license • Physically fit • Ability to work safely and plan ahead • Mechanical aptitude • Oilfield safety certifications Must pass pre-employment drug and alcohol test With experience, Leasehands can progress through to: Floorhand, Derrickhand, Driller and Operator positions."
26,Understanding of properties and characteristics of hydrogen in a gaseous state,91,Drilling & completion engineer,Storage,Underground,"Bachelor's Degree: Chemical, Mechanical or Petroleum Engineering"
30,"Understanding of hydrogen technologies, and economic and social advantages and disadvantages",226,Indigenous relations specialist,Cross Value Chain,Various,"Multiple pathways to this career: • Bachelor's Degree in First Nations and Indigenous Studies, Political Science, Business Administration, Public Administration, Law, Natural Resources Management, or other related field • A combination of related education and Indigenous relations experience Cultural competency including an understanding of colonization, decolonization, land and governance issues"
34,"Knowledge of appropriate materials, seals, coatings",102,Maintenance trade - Mechanical,Storage,Underground,Multiple pathways to this career: • Certificate of Qualification: Industrial Mechanic (Millwright) • Registered apprentice • Technologist diploma: Mechanical Engineering A valid driver's license + clean abstract
34,"Knowledge of appropriate materials, seals, coatings",37,Maintenance trade - Mechanical,Production,SMR / ATR,Certificate of Qualification in Industrial Mechanic or Millwright • Registered apprentice In Ontario: Hydrogen Technician (TSSAH2) certification • Obtained by working under our TSSA-H2 technicians
34,"Knowledge of appropriate materials, seals, coatings",18,Maintenance trade - Mechanical,Production,PEM,Certificate of Qualification in Industrial Mechanic or Millwright • Registered apprentice In Ontario: Hydrogen Technician (TSSAH2) certification • Obtained by working under our TSSA-H2 technicians
39,"Appropriate selection and maintenance of pressure vessels, piping systems and fitting, valves and seals, coatings and insulation associated with hydrogen fueling system",150,Mechanical engineer - Reliability,End Use,Fueling Station,Bachelor's degree in Mechanical Engineering
40,"Knowledge and selection of type of materials, coatings and inhibitors to use to protect from hydrogen corrosion",106,Corrosion specialist,Transport,Pipeline,"Multiple pathways to this career: • Bachelor's Degree: Materials or Mechanical Engineering • Technologist Diploma: Materials Engineering, Mechanical Engineering A valid driver's license + clean abstract National Association of Corrosion Engineers (NACE) certification"
43,Knowledge of electrolyzer hydrogen production plant control systems and advanced control systems for process optimisation,10,Process control engineer,Production,PEM,Bachelor's Degree: Chemical or Electrical & Instrumentation Engineering
50,Appropriate selection and maintenance of materials and equipment to withstand hydrogen pressure and temperatures,119,Tank tester/inspector,Transport,Truck,Certification from a training organization registered by Transport Canada to train tank testers and tank inspectors according to the requirements set out in the CSA B620 standard.
50,Appropriate selection and maintenance of materials and equipment to withstand hydrogen pressure and temperatures,116,Cylinder technician,Transport,Truck,"Multiple pathways to this career: • Certificate of Qualification: Refrigeration and Air Conditioning, Heavy Duty or Instrumentation • Registered apprentice • Technology Diploma in Instrumentation engineering Valid driver's license + clean abstract"
51,"Understanding of electrochemical reactions, processes and hydrogen production using PEM electrolyzers",10,Process control engineer,Production,PEM,Bachelor's Degree: Chemical or Electrical & Instrumentation Engineering
51,"Understanding of electrochemical reactions, processes and hydrogen production using PEM electrolyzers",20,Plant manager,Production,PEM,"Likely to be an experienced worker with engineering, maintenance and/or operations experience."
51,"Understanding of electrochemical reactions, processes and hydrogen production using PEM electrolyzers",6,Measurement specialist,Production,PEM,"Multiple pathways to this career: • Bachelor's Degree: Chemical,  Electrical & Instrumentation, Mechanical Engineering • Technology Diploma: Chemical, Electrical, Instrumentation or Mechanical Engineering"
51,"Understanding of electrochemical reactions, processes and hydrogen production using PEM electrolyzers",2,Chemical/Process engineer,Production,PEM,Bachelor's Degree: Chemical or Process Engineering or Electrochemistry
51,"Understanding of electrochemical reactions, processes and hydrogen production using PEM electrolyzers",21,Plant operator,Production,PEM,"Multiple pathways to this career: • Technology Diploma in petrochemistry, chemical processes or power engineering • Class A, Class B refrigeration for liquification process"
51,"Understanding of electrochemical reactions, processes and hydrogen production using PEM electrolyzers",5,Facility engineer,Production,PEM,"Bachelor's Degree: Chemical, Process or Mechanical Engineering ."
57,Understanding of properties and characteristics of hydrogen in a liquid and gaseous state,92,Cavern engineer,Storage,Underground,"Bachelor's Degree: Chemical, Geological, Mechanical or Petroleum Engineering"
57,Understanding of properties and characteristics of hydrogen in a liquid and gaseous state,152,Process engineer,End Use,Fueling Station,Bachelor's degree: Chemical or Mechanical Engineering
59,Knowledge of odorants used to assist with leak detection of hydrogen,169,Utility services planner,End Use,Heating,"Multiple pathways to this career: • Bachelor's Degree: Civil, Mechanical Engineering • Engineering Technology Diploma: Civil, Mechanical Related tickets/certifications considered an asset: • Damage Prevention • Gas Pipeline Inspection Valid driver's license + clean abstract"
59,Knowledge of odorants used to assist with leak detection of hydrogen,170,Utility services technician,End Use,Heating,"Multiple pathways to this career: • Bachelor's Degree: Civil, Mechanical Engineering • Engineering Technology Diploma: Civil, Mechanical Related tickets/certifications considered an asset: • Damage Prevention • Gas Pipeline Inspection Valid driver's license + clean abstract"
59,Knowledge of odorants used to assist with leak detection of hydrogen,168,Utility operator,End Use,Heating,Grade 12 Diploma or G.E.D. Valid driver's licence + clean abstract Natural gas utility operator certification or some Canadian utility companies will hire labourers and move them into trainee operator positions with their in-house training and progression program
70,Understanding of combined- cycle power generation using hydrogen-blending,188,Plant operator,End Use,Power Generation,Power Engineer or Stationary Engineer Certificate of Qualification Many plants require a minimum 3rd Class certificate
70,Understanding of combined- cycle power generation using hydrogen-blending,189,Power scheduler,End Use,Power Generation,"Bachelor's degree:  Commerce, Economics, Engineering"
78,Understanding of hydrogen compression processes,116,Cylinder technician,Transport,Truck,"Multiple pathways to this career: • Certificate of Qualification: Refrigeration and Air Conditioning, Heavy Duty or Instrumentation • Registered apprentice • Technology Diploma in Instrumentation engineering Valid driver's license + clean abstract"
78,Understanding of hydrogen compression processes,149,Mechanical engineer - Compression,End Use,Fueling Station,Bachelor's degree in Mechanical Engineering
78,Understanding of hydrogen compression processes,104,Automation & controls specialist,Transport,Pipeline,"Multiple pathways to this career: • Bachelor's Degree: Automation, Instrumentation & Controls or Electrical Engineering • Certificate of Qualification in Instrument technician • Technology Diploma: Instrumentation Engineering"
78,Understanding of hydrogen compression processes,100,Compression specialist,Storage,Underground,"Multiple pathways to this career: • Bachelor's Degree: Aerospace, Chemical or Mechanical Engineering • Technologist Diploma: Aerospace Engineering, Mechanical Engineering"
78,Understanding of hydrogen compression processes,105,Compression specialist,Transport,Pipeline,"Multiple pathways to this career: • Bachelor's Degree: Aerospace, Chemical or Mechanical Engineering • Technologist Diploma: Aerospace Engineering, Mechanical Engineering"
78,Understanding of hydrogen compression processes,115,Station operator - Compression,Transport,Pipeline,"Multiple pathways to this career: • Certificate of Qualification: Industrial Electrician or Industrial Mechanic (Millwright) • Registered apprentice • Technologist diploma: Electrical Engineering, Mechanical Engineering A valid driver's license + clean abstract"
78,Understanding of hydrogen compression processes,119,Tank tester/inspector,Transport,Truck,Certification from a training organization registered by Transport Canada to train tank testers and tank inspectors according to the requirements set out in the CSA B620 standard.
78,Understanding of hydrogen compression processes,172,Compression specialist,End Use,Power Generation,"Multiple pathways to this career: • Bachelor's Degree: Aerospace, Chemical or Mechanical Engineering • Technologist Diploma: Aerospace Engineering, Mechanical Engineering"
83,Understanding materials behaviour in high pressure hydrogen,108,Pipeline integrity specialist,Transport,Pipeline,"Bachelor's Degree: Chemical, Materials, Metallurgical or Mechanical Engineering National Association of Corrosion Engineers (NACE) certification"
83,Understanding materials behaviour in high pressure hydrogen,107,Pipeline engineer,Transport,Pipeline,"Bachelor's Degree: Chemical, Civil or Mechanical Engineering"
85,Knowledge of fuel cell technology and hydro-electric power trains,143,Locomotive mechanic (shop and field),End Use,Transport,"Certificate of Qualification: Heavy Duty Mechanic, Electrician, Automotive Technician • Registered apprentice Mix of mechanical and electrical experience is an asset"
87,"Appropriate selection, design and maintenance of electrolyzers, vessels, compressors, piping systems and fitting, valves and seals to withstand hydrogen pressure and temperatures",15,Maintenance planner,Production,PEM,"Multiple pathways to this career: • Certificate of Qualification in Industrial electrician, Industrial mechanic/Millwright or Instrumentation technician • Bachelor's Degree: Electrical or Mechanical Engineering"
91,"Management, maintenance and continuous improvement of hydrogen fueling station and mobile systems",139,Fleet manager,End Use,Transport,"Multiple pathways to this career: • Certificate of Qualification in Heavy duty mechanic • Service manager with experience in overseeing a preventative and repair program • Experience with asset management • Supply chain or logistics designation Valid driver's license, + clean abstract Experience in transportation or logistics"
93,"Understanding of coatings effective for protecting equipment, piping, pipelines, etc. used for hydrogen against corrosion/embrittlement and their correct application",232,Coating inspector,Cross Value Chain,Various,"Combination of education, experience and certification Certification of Qualification: Painter National Association of Corrosion Engineers (NACE) certification • Coating Inspector Society for Protective Coatings (SSPC) certification • Protective Coatings Inspector (NACE & SSPC have recently amalgamated under Association for Materials Protection and Performance (AMPP))"
95,"Knowledge of codes, and industry standard processes as relates to hydrogen fueling station equipment",155,Quality engineer,End Use,Fueling Station,"Multiple pathways to this career: •Bachelor's degree in Mechanical or Industrial Engineering •Engineer technology diploma in Mechanical, Industrial or Chemical + experience QA/QC Certifications"
96,"Knowledge of hydrogen production, distribution, and dispensing technology to meet the needs of different fleets",144,Transportation solutions advisor,End Use,Transport,"Bachelor's Degree: Chemical, Mechanical Engineering"
98,"Process engineering and controls skills specific to hydrogen including hazard risk analysis and reviews, mechanical integrity and instrumented system analysis, and operation readiness inspection",50,Process safety engineer,Production,CCS,"Bachelor's Degree: Chemical or Process Engineering Significant experience in process equipment, engineering, safety and operational risk management • Process Hazard Analysis techniques (HAZOP, FMEA) • What-If studies, quantitative and semi-quantitative risk assessments (LOPA and FTA/ETA) • Reliability/Survival analysis • Knowledge of OSHA 1910.119, CSA Z767, CSA Z260, ISO 31000, API 1173 and related codes and standards."
98,"Process engineering and controls skills specific to hydrogen including hazard risk analysis and reviews, mechanical integrity and instrumented system analysis, and operation readiness inspection",153,Process safety engineer,End Use,Fueling Station,"Bachelor's degree in Chemical Engineering Significant experience in process equipment, engineering, safety and operational risk management • Process Hazard Analysis techniques (HAZOP, FMEA) • What-If studies, quantitative and semi-quantitative risk assessments (LOPA and FTA/ETA) • Reliability/Survival analysis • Knowledge of OSHA 1910.119, CSA Z767, CSA Z260, ISO 31000, API 1173 and related codes and standards."
98,"Process engineering and controls skills specific to hydrogen including hazard risk analysis and reviews, mechanical integrity and instrumented system analysis, and operation readiness inspection",109,Process safety engineer,Transport,Pipeline,"Bachelor's Degree: Chemical or Process Engineering Significant experience in process equipment, engineering, safety and operational risk management • Process Hazard Analysis techniques (HAZOP, FMEA) • What-If studies, quantitative and semi-quantitative risk assessments (LOPA and FTA/ETA) • Reliability/Survival analysis • Knowledge of OSHA 1910.119, CSA Z767, CSA Z260, ISO 31000, API 1173 and related codes and standards."
98,"Process engineering and controls skills specific to hydrogen including hazard risk analysis and reviews, mechanical integrity and instrumented system analysis, and operation readiness inspection",181,Process safety engineer,End Use,Power Generation,"Bachelor's Degree: Chemical or Process Engineering Significant experience in process equipment, engineering, safety and operational risk management • Process Hazard Analysis techniques (HAZOP, FMEA) • What-If studies, quantitative and semi-quantitative risk assessments (LOPA and FTA/ETA) • Reliability/Survival analysis • Knowledge of OSHA 1910.119, CSA Z767, CSA Z260, ISO 31000, API 1173 and related codes and standards."
98,"Process engineering and controls skills specific to hydrogen including hazard risk analysis and reviews, mechanical integrity and instrumented system analysis, and operation readiness inspection",31,Process safety engineer,Production,SMR / ATR,"Bachelor's Degree: Chemical or Process Engineering Significant experience in process equipment, engineering, safety and operational risk management • Process Hazard Analysis techniques (HAZOP, FMEA) • What-If studies, quantitative and semi-quantitative risk assessments (LOPA and FTA/ETA) • Reliability/Survival analysis • Knowledge of OSHA 1910.119, CSA Z767, CSA Z260, ISO 31000, API 1173 and related codes and standards."
98,"Process engineering and controls skills specific to hydrogen including hazard risk analysis and reviews, mechanical integrity and instrumented system analysis, and operation readiness inspection",128,Process safety engineer,Upgrading,Ammonia,"Bachelor's Degree: Chemical or Process Engineering Significant experience in process equipment, engineering, safety and operational risk management • Process Hazard Analysis techniques (HAZOP, FMEA) • What-If studies, quantitative and semi-quantitative risk assessments (LOPA and FTA/ETA) • Reliability/Survival analysis • Knowledge of OSHA 1910.119, CSA Z767, CSA Z260, ISO 31000, API 1173 and related codes and standards."
98,"Process engineering and controls skills specific to hydrogen including hazard risk analysis and reviews, mechanical integrity and instrumented system analysis, and operation readiness inspection",66,Process safety engineer,Transport,CCS-Pipeline,"Bachelor's Degree: Chemical or Process Engineering Significant experience in process equipment, engineering, safety and operational risk management • Process Hazard Analysis techniques (HAZOP, FMEA) • What-If studies, quantitative and semi-quantitative risk assessments (LOPA and FTA/ETA) • Reliability/Survival analysis • Knowledge of OSHA 1910.119, CSA Z767, CSA Z260, ISO 31000, API 1173 and related codes and standards."
98,"Process engineering and controls skills specific to hydrogen including hazard risk analysis and reviews, mechanical integrity and instrumented system analysis, and operation readiness inspection",11,Process safety engineer,Production,PEM,"Bachelor's Degree: Chemical or Process Engineering Significant experience in process equipment, engineering, safety and operational risk management • Process Hazard Analysis techniques (HAZOP, FMEA) • What-If studies, quantitative and semi-quantitative risk assessments (LOPA and FTA/ETA) • Reliability/Survival analysis • Knowledge of OSHA 1910.119, CSA Z767, CSA Z260, ISO 31000, API 1173 and related codes and standards."
104,"Assess integrity of vessels, tanks, piping systems and fitting, valves and seals to withstand hydrogen pressure and temperatures",234,In-service pressure equipment inspector,Cross Value Chain,Various,"Combination of education, experience and certification • Provincially regulated occupation Multiple pathways to this career: • Bachelor's Degree: Materials, Mechanical, Metallurgical, Welding Engineering • Certificate of Qualification: Power Engineer or Stationary Engineer • Engineering Technologist Diploma: Materials/Metallurgical, Mechanical or Welding Additional relevant certifications from: • American Petroleum Institute (API) • American Society of Mechanical Engineers (ASME) • American Society for Nondestructive Testing (ASNT) • National NDT Certification Body (NDTCB) Valid driver's license + clean abstract"
104,"Assess integrity of vessels, tanks, piping systems and fitting, valves and seals to withstand hydrogen pressure and temperatures",235,Non-destructive (NDE) inspector and technician,Cross Value Chain,Various,"Combination of education, experience and certification Multiple pathways to this career: • Bachelor's Degree: Materials or Mechanical Engineering • Engineering Technologist Diploma: Materials/Metallurgical, Mechanical Additional relevant certifications from: • American Petroleum Institute (API) • American Society of Mechanical Engineers (ASME) • American Society for Nondestructive Testing (ASNT) • Association for Materials Protection and Performance (AMPP)/National Association of Corrosion Engineers (NACE) • National NDT Certification Body (NDTCB) Valid driver's license + clean abstract"
112,Develop and present business case for hydrogen,214,Business & commercial development specialist,Cross Value Chain,Various,"Bachelors Degree in Chemical or Mechanical Engineering Likely supplemented with Master of Business Administration (MBA), or equivalent business development training and experience"
118,"Knowledge of hydrogen related regulations, standards and codes",237,Welding inspector,Cross Value Chain,Various,"Combination of education, experience and certification Multiple pathways to this career: • Certification of Qualification: Welder • Bachelor's Degree: Materials or Mechanical Engineering • Technologist Diploma: Materials Engineering, Mechanical Engineering Canadian Welding Bureau (CWB) certification for Welding Inspectors Valid driver's license + clean abstract"
118,"Knowledge of hydrogen related regulations, standards and codes",233,Corrosion specialist,Cross Value Chain,Various,"Combination of education, experience and certification Multiple pathways to this career: • Bachelor's Degree: Materials or Mechanical Engineering • Engineering Technologist Diploma: Materials/Metallurgical, Mechanical National Association of Corrosion Engineers (NACE) certification Valid driver's license + clean abstract"
118,"Knowledge of hydrogen related regulations, standards and codes",178,Mechanical engineer - Reliability,End Use,Power Generation,Bachelor's Degree: Mechanical Engineering
118,"Knowledge of hydrogen related regulations, standards and codes",179,Process control engineer,End Use,Power Generation,Bachelor's Degree: Chemical or Electrical & Instrumentation Engineering
118,"Knowledge of hydrogen related regulations, standards and codes",171,Welding engineer,End Use,Heating,"Bachelor's Degree: Materials, Mechanical Engineering Specialist training in Welding Engineering Related qualifications and certifications from the following agencies may be of benefit: • American Petroleum Institute (API) • American Society of Mechanical Engineers (ASME) • American Society for Nondestructive Testing (ASNT) • CSA/Standards Council of Canada (SCC) • International Organization of Standardization (ISO) • National NDT Certification Body (NDTCB) • Quality management programs"
118,"Knowledge of hydrogen related regulations, standards and codes",31,Process safety engineer,Production,SMR / ATR,"Bachelor's Degree: Chemical or Process Engineering Significant experience in process equipment, engineering, safety and operational risk management • Process Hazard Analysis techniques (HAZOP, FMEA) • What-If studies, quantitative and semi-quantitative risk assessments (LOPA and FTA/ETA) • Reliability/Survival analysis • Knowledge of OSHA 1910.119, CSA Z767, CSA Z260, ISO 31000, API 1173 and related codes and standards."
118,"Knowledge of hydrogen related regulations, standards and codes",180,Process engineer,End Use,Power Generation,"Bachelor's Degree: Chemical, Electrical, Mechanical or Process Engineering"
118,"Knowledge of hydrogen related regulations, standards and codes",170,Utility services technician,End Use,Heating,"Multiple pathways to this career: • Bachelor's Degree: Civil, Mechanical Engineering • Engineering Technology Diploma: Civil, Mechanical Related tickets/certifications considered an asset: • Damage Prevention • Gas Pipeline Inspection Valid driver's license + clean abstract"
118,"Knowledge of hydrogen related regulations, standards and codes",181,Process safety engineer,End Use,Power Generation,"Bachelor's Degree: Chemical or Process Engineering Significant experience in process equipment, engineering, safety and operational risk management • Process Hazard Analysis techniques (HAZOP, FMEA) • What-If studies, quantitative and semi-quantitative risk assessments (LOPA and FTA/ETA) • Reliability/Survival analysis • Knowledge of OSHA 1910.119, CSA Z767, CSA Z260, ISO 31000, API 1173 and related codes and standards."
118,"Knowledge of hydrogen related regulations, standards and codes",176,Hydrogen integration specialist,End Use,Power Generation,"Bachelor's degree in Chemical, Electrical, or Mechanical Engineering Strong knowledge of trending low carbon transition technologies and initiatives with special attention to hydrogen ."
118,"Knowledge of hydrogen related regulations, standards and codes",128,Process safety engineer,Upgrading,Ammonia,"Bachelor's Degree: Chemical or Process Engineering Significant experience in process equipment, engineering, safety and operational risk management • Process Hazard Analysis techniques (HAZOP, FMEA) • What-If studies, quantitative and semi-quantitative risk assessments (LOPA and FTA/ETA) • Reliability/Survival analysis • Knowledge of OSHA 1910.119, CSA Z767, CSA Z260, ISO 31000, API 1173 and related codes and standards."
118,"Knowledge of hydrogen related regulations, standards and codes",177,Mechanical engineer - Equipment & piping,End Use,Power Generation,Bachelor's Degree: Mechanical Engineering
118,"Knowledge of hydrogen related regulations, standards and codes",11,Process safety engineer,Production,PEM,"Bachelor's Degree: Chemical or Process Engineering Significant experience in process equipment, engineering, safety and operational risk management • Process Hazard Analysis techniques (HAZOP, FMEA) • What-If studies, quantitative and semi-quantitative risk assessments (LOPA and FTA/ETA) • Reliability/Survival analysis • Knowledge of OSHA 1910.119, CSA Z767, CSA Z260, ISO 31000, API 1173 and related codes and standards."
118,"Knowledge of hydrogen related regulations, standards and codes",183,Maintenance planner,End Use,Power Generation,"Multiple pathways to this career: • Certificate of Qualification in Industrial electrician, Industrial mechanic/Millwright or Instrumentation technician • Bachelor's Degree: Electrical or Mechanical Engineering"
118,"Knowledge of hydrogen related regulations, standards and codes",169,Utility services planner,End Use,Heating,"Multiple pathways to this career: • Bachelor's Degree: Civil, Mechanical Engineering • Engineering Technology Diploma: Civil, Mechanical Related tickets/certifications considered an asset: • Damage Prevention • Gas Pipeline Inspection Valid driver's license + clean abstract"
118,"Knowledge of hydrogen related regulations, standards and codes",234,In-service pressure equipment inspector,Cross Value Chain,Various,"Combination of education, experience and certification • Provincially regulated occupation Multiple pathways to this career: • Bachelor's Degree: Materials, Mechanical, Metallurgical, Welding Engineering • Certificate of Qualification: Power Engineer or Stationary Engineer • Engineering Technologist Diploma: Materials/Metallurgical, Mechanical or Welding Additional relevant certifications from: • American Petroleum Institute (API) • American Society of Mechanical Engineers (ASME) • American Society for Nondestructive Testing (ASNT) • National NDT Certification Body (NDTCB) Valid driver's license + clean abstract"
118,"Knowledge of hydrogen related regulations, standards and codes",168,Utility operator,End Use,Heating,Grade 12 Diploma or G.E.D. Valid driver's licence + clean abstract Natural gas utility operator certification or some Canadian utility companies will hire labourers and move them into trainee operator positions with their in-house training and progression program
118,"Knowledge of hydrogen related regulations, standards and codes",153,Process safety engineer,End Use,Fueling Station,"Bachelor's degree in Chemical Engineering Significant experience in process equipment, engineering, safety and operational risk management • Process Hazard Analysis techniques (HAZOP, FMEA) • What-If studies, quantitative and semi-quantitative risk assessments (LOPA and FTA/ETA) • Reliability/Survival analysis • Knowledge of OSHA 1910.119, CSA Z767, CSA Z260, ISO 31000, API 1173 and related codes and standards."
118,"Knowledge of hydrogen related regulations, standards and codes",167,Utility inspector,End Use,Heating,"Multiple pathways to this career: • Bachelor's Degree: Civil, Mechanical Engineering • Engineering Technology Diploma: Civil, Mechanical Related tickets/certifications considered an asset: • Damage Prevention • Gas Pipeline Inspection Valid driver's license + clean abstract"
118,"Knowledge of hydrogen related regulations, standards and codes",109,Process safety engineer,Transport,Pipeline,"Bachelor's Degree: Chemical or Process Engineering Significant experience in process equipment, engineering, safety and operational risk management • Process Hazard Analysis techniques (HAZOP, FMEA) • What-If studies, quantitative and semi-quantitative risk assessments (LOPA and FTA/ETA) • Reliability/Survival analysis • Knowledge of OSHA 1910.119, CSA Z767, CSA Z260, ISO 31000, API 1173 and related codes and standards."
118,"Knowledge of hydrogen related regulations, standards and codes",161,Asset performance manager,End Use,Heating,Bachelor's degree in Mechanical Engineering
118,"Knowledge of hydrogen related regulations, standards and codes",165,"HVAC technician (also known as: Refrigeration and Air Conditioning Mechanic, HVAC-R technician)",End Use,Heating,Certification of Qualification: Refrigeration and Air Conditioning Mechanic • Registered apprentice Valid driver's license + clean abstract
118,"Knowledge of hydrogen related regulations, standards and codes",235,Non-destructive (NDE) inspector and technician,Cross Value Chain,Various,"Combination of education, experience and certification Multiple pathways to this career: • Bachelor's Degree: Materials or Mechanical Engineering • Engineering Technologist Diploma: Materials/Metallurgical, Mechanical Additional relevant certifications from: • American Petroleum Institute (API) • American Society of Mechanical Engineers (ASME) • American Society for Nondestructive Testing (ASNT) • Association for Materials Protection and Performance (AMPP)/National Association of Corrosion Engineers (NACE) • National NDT Certification Body (NDTCB) Valid driver's license + clean abstract"
118,"Knowledge of hydrogen related regulations, standards and codes",227,Construction inspector,Cross Value Chain,Various,Multiple pathways to this career: • Bachelor's Degree: Civil or Mechanical Engineering • Engineering Technologist Diploma: Civil or Mechanical Valid driver's license + clean abstract
118,"Knowledge of hydrogen related regulations, standards and codes",164,"Gasfitter (also known as: Gas technician, Customer service technician, Gas Servicer)",End Use,Heating,"Certification of Qualification: Gasfitter • Registered apprentice There are two types : • Gasfitter 1st Class: works on all equipment • Gasfitter 2nd Class: works on equipment with less than 400,000 BTUs (British thermal units) Valid driver's license + clean abstract Welding experience/credentials are considered an asset"
118,"Knowledge of hydrogen related regulations, standards and codes",162,Hydrogen integration specialist,End Use,Heating,"Bachelor's degree in Chemical, Electrical, or Mechanical Engineering Strong knowledge of trending low carbon transition technologies and initiatives with special attention to hydrogen"
